Регион;Код;2017;2018;2019;2020;2021;2022;2023
Российская Федерация;643;78120.0;79007.0;54757.0;38178.0;48608.0;43534.0;69583.0
Центральный федеральный округ;30;72721.0;73588.0;45710.0;16989.0;22604.0;50623.0;32851.0
Белгородская область;140;-67.0;-170.0;-419.0;326.0;526.0;-2683.0;-1288.0
Брянская область;150;-877.0;-1178.0;-1399.0;-33.0;164.0;-1005.0;-375.0
Владимирская область;170;-1487.0;-1556.0;-1504.0;-1807.0;-1518.0;-2016.0;-1774.0
Воронежская область;200;1820.0;2730.0;2500.0;1162.0;1761.0;-409.0;-391.0
Ивановская область;240;-950.0;-1235.0;-596.0;-480.0;-71.0;-844.0;-608.0
Калужская область;290;-1047.0;-1284.0;-1516.0;834.0;2432.0;398.0;53.0
Костромская область;340;-69.0;-516.0;363.0;950.0;414.0;-94.0;380.0
Курская область;380;40.0;444.0;637.0;662.0;-473.0;-894.0;503.0
Липецкая область;420;-61.0;-7.0;12.0;-181.0;-841.0;-1424.0;-1570.0
Московская область;460;26733.0;35655.0;26573.0;9219.0;22785.0;15305.0;15323.0
Орловская область;540;-749.0;-947.0;-733.0;-984.0;-1050.0;-1192.0;-1020.0
Рязанская область;610;715.0;990.0;-85.0;261.0;-98.0;-428.0;-380.0
Смоленская область;660;-1536.0;-1546.0;-1204.0;-637.0;-1031.0;-1064.0;-678.0
Тамбовская область;680;-38.0;-193.0;168.0;336.0;-154.0;-344.0;-234.0
Тверская область;280;-1679.0;-1434.0;-1165.0;-55.0;-856.0;-1011.0;-981.0
Тульская область;700;-1434.0;-2001.0;-903.0;-400.0;-593.0;-1127.0;-185.0
Ярославская область;780;670.0;1394.0;-38.0;-874.0;-723.0;-834.0;-423.0
Город Москва столица Российской Федерации город федерального значения;450;52737.0;44442.0;25019.0;8690.0;1930.0;50289.0;26499.0
Северо-Западный федеральный округ;31;20392.0;12456.0;15050.0;15299.0;18075.0;11858.0;15764.0
Республика Карелия;860;-401.0;244.0;209.0;390.0;759.0;740.0;367.0
Республика Коми;870;-3461.0;-3527.0;-3952.0;-2032.0;-2281.0;-1916.0;-290.0
Архангельская область;110;-2404.0;-1426.0;-661.0;50.0;-6.0;-150.0;469.0
Ненецкий автономный округ (Архангельская область);111;-42.0;15.0;51.0;145.0;10.0;35.0;453.0
Архангельская область (кроме Ненецкого автономного округа);110;-2362.0;-1441.0;-712.0;-95.0;-16.0;-185.0;16.0
Вологодская область;190;-807.0;-819.0;-1457.0;-868.0;-473.0;-1192.0;-374.0
Вологда;194;-466.0;-350.0;;;;;
Череповец;194;-112.0;-218.0;;;;;
Калининградская область;270;2911.0;3426.0;4227.0;4163.0;4435.0;1671.0;1927.0
Ленинградская область;410;516.0;2970.0;6450.0;12325.0;10699.0;11089.0;5866.0
Мурманская область;470;-2947.0;-2507.0;-3302.0;-2326.0;-2566.0;-1916.0;321.0
Новгородская область;490;-678.0;59.0;112.0;417.0;465.0;30.0;-92.0
Псковская область;580;-647.0;-199.0;-157.0;321.0;-125.0;-623.0;-764.0
Город Санкт-Петербург город федерального значения;400;28310.0;14235.0;13581.0;2859.0;7168.0;4125.0;8334.0
Южный федеральный округ (с 29.07.2016);40;16229.0;21762.0;10913.0;14919.0;17297.0;3329.0;20589.0
Республика Адыгея (Адыгея);790;-415.0;170.0;678.0;5.0;869.0;123.0;179.0
Республика Калмыкия;850;-444.0;-585.0;-33.0;12.0;-16.0;-282.0;291.0
Республика Крым;350;511.0;1004.0;770.0;775.0;180.0;-1435.0;941.0
Краснодарский край;300;15713.0;19031.0;9414.0;10921.0;14239.0;5828.0;11325.0
Краснодар;340;7652.0;7171.0;;;;;
Армавир;340;-119.0;-149.0;;;;;
Новороссийск;342;1242.0;918.0;;;;;
Сочи;342;5649.0;6912.0;;;;;
Астраханская область;120;-690.0;-1036.0;-1084.0;-1292.0;-2145.0;-2438.0;-1709.0
Волгоградская область;180;-1901.0;203.0;-1279.0;137.0;1051.0;-536.0;-829.0
Ростовская область;600;798.0;620.0;304.0;146.0;-1120.0;-2574.0;6699.0
Город федерального значения Севастополь;670;2657.0;2355.0;2143.0;4215.0;4239.0;4643.0;3692.0
Северо-Кавказский федеральный округ;38;-3055.0;-876.0;3069.0;1363.0;-372.0;-1603.0;694.0
Республика Дагестан;820;-362.0;238.0;-454.0;-295.0;-30.0;316.0;-974.0
Республика Ингушетия;260;958.0;1519.0;1430.0;706.0;725.0;556.0;976.0
Кабардино-Балкарская Республика;830;-871.0;-1211.0;-829.0;-140.0;-634.0;-871.0;-118.0
Карачаево-Черкесская Республика;910;-363.0;-97.0;-140.0;13.0;-182.0;-119.0;-6.0
Республика Северная Осетия-Алания;900;-1292.0;-1505.0;-1377.0;-1055.0;-1312.0;-1652.0;-801.0
Чеченская Республика;960;-323.0;-967.0;-389.0;-237.0;-927.0;-1289.0;-1690.0
Ставропольский край;700;-802.0;1147.0;4828.0;2371.0;1988.0;1456.0;3307.0
Приволжский федеральный округ;33;-9776.0;-10012.0;2645.0;3067.0;4639.0;-2736.0;1473.0
Республика Башкортостан;800;-597.0;-454.0;1316.0;-198.0;5347.0;3729.0;3338.0
Республика Марий Эл;880;203.0;615.0;947.0;1667.0;1474.0;714.0;593.0
Республика Мордовия;890;-803.0;-557.0;-181.0;-268.0;-47.0;-779.0;-138.0
Республика Татарстан (Татарстан);920;1582.0;593.0;-209.0;-579.0;-1090.0;-755.0;-1254.0
Удмуртская Республика;940;15.0;-146.0;-203.0;691.0;532.0;72.0;29.0
Чувашская Республика - Чувашия;970;402.0;957.0;76.0;133.0;1412.0;-26.0;240.0
Пермский край;570;-1328.0;-1605.0;-1277.0;-1456.0;-2059.0;-1802.0;277.0
Кировская область;330;1189.0;968.0;1374.0;1553.0;1412.0;1294.0;1721.0
Нижегородская область;220;-2029.0;-1349.0;1534.0;1980.0;1102.0;-17.0;70.0
Оренбургская область;530;-2112.0;-1912.0;855.0;747.0;-474.0;-1798.0;-1392.0
Пензенская область;560;-898.0;-1107.0;139.0;15.0;-1088.0;-762.0;-337.0
Самарская область;360;-4343.0;-4014.0;-962.0;-1304.0;-1000.0;-1597.0;-1906.0
Саратовская область;630;-960.0;-1792.0;-159.0;-241.0;-887.0;-381.0;447.0
Саратов;634;1322.0;;;;;;
Балаково;634;-454.0;;;;;;
Ульяновская область;730;-97.0;-209.0;-605.0;327.0;5.0;-628.0;-215.0
Уральский федеральный округ;34;-1450.0;-1036.0;-6461.0;2896.0;-912.0;-2178.0;2426.0
Курганская область;370;-2308.0;-1256.0;-1261.0;-291.0;-990.0;-416.0;-302.0
Свердловская область;650;1457.0;1615.0;-3449.0;149.0;565.0;-1355.0;-866.0
Тюменская область;710;1232.0;2572.0;669.0;3420.0;1847.0;643.0;6183.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-4585.0;-2125.0;-3318.0;-402.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;-1733.0;-1538.0;-1233.0;-284.0;-399.0;-1280.0;-231.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;7550.0;6235.0;5220.0;4106.0;4063.0;2545.0;1462.0
Челябинская область;750;-1831.0;-3967.0;-2420.0;-382.0;-2334.0;-1050.0;-2589.0
Сибирский федеральный округ;35;-10222.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;-8005.0;-11308.0;-8165.0;-7318.0;-9303.0;-2625.0
Республика Алтай;840;-289.0;229.0;159.0;-19.0;-113.0;-186.0;-164.0
Республика Тыва;930;-164.0;-14.0;-203.0;-521.0;132.0;505.0;-6.0
Республика Хакасия;950;964.0;440.0;141.0;330.0;109.0;309.0;572.0
Алтайский край;100;-1824.0;-14.0;889.0;1504.0;-111.0;-133.0;-53.0
Чита;764;627.0;280.0;;;;;
Красноярский край;400;140.0;556.0;-1307.0;377.0;2633.0;2052.0;4384.0
Иркутская область;250;-2937.0;-2044.0;-3940.0;-2494.0;-2934.0;-3513.0;-2841.0
Кемеровская область - Кузбасс;320;-2791.0;-5116.0;-4499.0;-2916.0;-4301.0;-3803.0;-2693.0
Новосибирская область;500;1269.0;2125.0;2800.0;1258.0;1519.0;-550.0;519.0
Омская область;520;-2984.0;-3856.0;-3144.0;-2436.0;-2454.0;-2204.0;-624.0
Томская область;690;239.0;-311.0;-2204.0;-3248.0;-1798.0;-1780.0;-1719.0
Томск;694;480.0;45.0;;;;;
Дальневосточный федеральный округ;36;-6719.0;;;;;;
Дальневосточный федеральный округ (с 03.11.2018);42;;-8870.0;-4861.0;-8190.0;-5405.0;-6456.0;-1589.0
Республика Бурятия;810;-31.0;-1012.0;506.0;-763.0;-938.0;-1008.0;-760.0
Забайкальский край;760;-1814.0;-1829.0;-590.0;-913.0;-416.0;-957.0;-628.0
Республика Саха (Якутия);980;-957.0;-410.0;-689.0;-1055.0;750.0;13.0;1627.0
Камчатский край;300;-967.0;-1050.0;-267.0;-329.0;-302.0;47.0;485.0
Приморский край;500;-1020.0;-467.0;-518.0;-1544.0;-1656.0;-2024.0;-1035.0
Хабаровский край;800;-917.0;-1531.0;-594.0;-1689.0;-294.0;-1066.0;-515.0
Амурская область;100;-1307.0;-669.0;-353.0;-235.0;-490.0;-62.0;-668.0
Магаданская область;440;-734.0;-1009.0;-767.0;-511.0;-500.0;-449.0;-59.0
Сахалинская область;640;-38.0;-377.0;-983.0;-261.0;-1104.0;-588.0;-22.0
Еврейская автономная область;990;-667.0;-625.0;-609.0;-530.0;-592.0;-489.0;-256.0
Чукотский автономный округ;770;-112.0;109.0;3.0;-360.0;137.0;127.0;242.0
Энгельс;634;-57.0;;;;;;
Северск;695;-94.0;-61.0;;;;;
Российская Федерация;643;-78120.0;-79007.0;-54758.0;-38179.0;-48608.0;-43533.0;
Центральный федеральный округ;30;-2137.0;1178.0;7485.0;3786.0;13089.0;4283.0;
Белгородская область;140;-405.0;14.0;373.0;-462.0;-1107.0;-1477.0;
Брянская область;150;-1399.0;-1515.0;-290.0;-101.0;-1179.0;-922.0;
Владимирская область;170;-1082.0;-1332.0;-634.0;93.0;-632.0;-226.0;
Воронежская область;200;-1910.0;-2280.0;-1026.0;65.0;-847.0;490.0;
Ивановская область;240;-857.0;-1001.0;-744.0;-480.0;-576.0;-679.0;
Калужская область;290;-295.0;51.0;-190.0;125.0;180.0;-425.0;
Костромская область;340;-1059.0;-1142.0;-1295.0;-1004.0;-1015.0;-700.0;
Курская область;380;-1748.0;-2327.0;-1260.0;-975.0;-672.0;-424.0;
Липецкая область;420;-1264.0;-1624.0;-882.0;-75.0;57.0;-280.0;
Московская область;460;10672.0;13716.0;12321.0;8948.0;11241.0;12381.0;
Орловская область;540;-843.0;-773.0;-762.0;-286.0;-411.0;-350.0;
Рязанская область;610;-1488.0;-1931.0;-739.0;-408.0;-77.0;-323.0;
Смоленская область;660;-225.0;-484.0;3.0;142.0;-71.0;-369.0;
Тамбовская область;680;-2077.0;-2417.0;-1913.0;-946.0;-1128.0;-1422.0;
Тверская область;280;-1395.0;-1883.0;-1357.0;-1200.0;-741.0;-728.0;
Тульская область;700;-1790.0;-1559.0;-1124.0;-405.0;-619.0;-769.0;
Ярославская область;780;-373.0;-638.0;149.0;541.0;394.0;506.0;
Город Москва столица Российской Федерации город федерального значения;450;5401.0;8303.0;6855.0;214.0;10292.0;;
Северо-Западный федеральный округ;31;5401.0;10370.0;7813.0;-31.0;1648.0;2715.0;
Республика Карелия;860;-631.0;-966.0;-697.0;-409.0;-660.0;-622.0;
Республика Коми;870;-1429.0;-1383.0;-697.0;-804.0;-1074.0;-908.0;
Архангельская область;110;-2198.0;-2424.0;-1641.0;-1602.0;-1939.0;-1362.0;
Ненецкий автономный округ (Архангельская область);111;-110.0;-148.0;-93.0;-114.0;-117.0;-71.0;
Архангельская область (кроме Ненецкого автономного округа);110;-2088.0;-2276.0;-1548.0;-1488.0;-1822.0;-1291.0;
Вологодская область;190;-1074.0;-1452.0;-249.0;35.0;-472.0;-45.0;
Калининградская область;270;-93.0;-303.0;-202.0;206.0;992.0;997.0;
Ленинградская область;410;11478.0;18637.0;12123.0;3287.0;6051.0;5390.0;
Мурманская область;470;121.0;32.0;-242.0;-263.0;-97.0;-128.0;
Новгородская область;490;-514.0;-1110.0;-564.0;-375.0;-526.0;-249.0;
Псковская область;580;-259.0;-661.0;-18.0;-106.0;-627.0;-358.0;
Южный федеральный округ (с 29.07.2016);40;-7514.0;-5963.0;-3046.0;-48.0;-3197.0;-3512.0;
Республика Адыгея (Адыгея);790;473.0;753.0;1659.0;1312.0;1591.0;1794.0;
Республика Калмыкия;850;-967.0;-1236.0;-1059.0;-618.0;-795.0;-903.0;
Республика Крым;350;-354.0;-251.0;539.0;1117.0;613.0;-99.0;
Краснодарский край;300;927.0;2588.0;1811.0;1568.0;-730.0;-539.0;
Астраханская область;120;-1328.0;-1515.0;-1070.0;-342.0;100.0;-208.0;
Волгоградская область;180;-2949.0;-2703.0;-3124.0;-2094.0;-3271.0;-2588.0;
Ростовская область;600;-3294.0;-3576.0;-1735.0;-908.0;-609.0;-860.0;
Город федерального значения Севастополь;670;-22.0;-23.0;-67.0;-83.0;-96.0;-109.0;
Северо-Кавказский федеральный округ;38;-11598.0;-14030.0;-11850.0;-6497.0;-7248.0;-6423.0;
Республика Дагестан;820;-6162.0;-6775.0;-4942.0;-3331.0;-3738.0;-2675.0;
Республика Ингушетия;260;-172.0;0.0;-122.0;145.0;114.0;12.0;
Кабардино-Балкарская Республика;830;-652.0;-780.0;-549.0;-228.0;-240.0;-247.0;
Карачаево-Черкесская Республика;910;-385.0;-819.0;-476.0;-228.0;-189.0;-500.0;
Республика Северная Осетия-Алания;900;-833.0;-1233.0;-862.0;-536.0;-456.0;-726.0;
Чеченская Республика;960;-1105.0;-748.0;-575.0;-442.0;-630.0;-1022.0;
Ставропольский край;700;-2289.0;-3675.0;-4324.0;-1877.0;-2109.0;-1265.0;
Приволжский федеральный округ;33;-26830.0;-32037.0;-28957.0;-17399.0;-21469.0;-18597.0;
Республика Башкортостан;800;-4375.0;-4743.0;-5269.0;-2691.0;-4664.0;-5888.0;
Республика Марий Эл;880;-1469.0;-1851.0;-1431.0;-1625.0;-1756.0;-1144.0;
Республика Мордовия;890;-1621.0;-2248.0;-1577.0;-854.0;-1038.0;-868.0;
Республика Татарстан (Татарстан);920;-1088.0;-67.0;1761.0;3061.0;3596.0;2761.0;
Удмуртская Республика;940;-2069.0;-2365.0;-1967.0;-1413.0;-1503.0;-1042.0;
Чувашская Республика - Чувашия;970;-3133.0;-4136.0;-2311.0;-1204.0;-2561.0;-1757.0;
Пермский край;570;-1981.0;-1975.0;-1288.0;-1209.0;-1401.0;-1004.0;
Кировская область;330;-3029.0;-3639.0;-2992.0;-2776.0;-2729.0;-2011.0;
Нижегородская область;220;607.0;70.0;-1088.0;-1418.0;-1360.0;-409.0;
Оренбургская область;530;-3768.0;-4841.0;-5217.0;-3517.0;-3921.0;-2772.0;
Пензенская область;560;-1237.0;-1855.0;-2067.0;-907.0;-395.0;-624.0;
Самарская область;360;1412.0;1542.0;-280.0;919.0;799.0;758.0;
Саратовская область;630;-3463.0;-3910.0;-3615.0;-2466.0;-2939.0;-3248.0;
Ульяновская область;730;-1616.0;-2019.0;-1616.0;-1299.0;-1597.0;-1349.0;
Уральский федеральный округ;34;-9011.0;-8882.0;-4379.0;-5101.0;-5342.0;-3500.0;
Курганская область;370;-1292.0;-2625.0;-1120.0;-847.0;-1836.0;-1493.0;
Свердловская область;650;-3220.0;-3468.0;-1044.0;-1611.0;-1856.0;-950.0;
Тюменская область;710;-2513.0;-1344.0;-1815.0;-1398.0;-1253.0;-878.0;
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-302.0;-913.0;-653.0;-551.0;;;
Ямало-Ненецкий автономный округ (Тюменская область);711;-628.0;-589.0;-615.0;-156.0;-500.0;-396.0;
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;-1583.0;158.0;-547.0;-691.0;-99.0;320.0;
Челябинская область;750;-1986.0;-1445.0;-400.0;-1245.0;-397.0;-179.0;
Сибирский федеральный округ;35;-18949.0;;;;;;
Сибирский федеральный округ (с 03.11.2018);41;;-17286.0;-11479.0;-8147.0;-15489.0;-10268.0;
Республика Алтай;840;113.0;-532.0;-6.0;88.0;197.0;12.0;
Республика Тыва;930;-370.0;-526.0;-232.0;302.0;-1077.0;-1443.0;
