Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
В пределах России;52;;;;;;;;
Российская Федерация;643;1910648.0;3056873.0;3778462.0;4014620.0;4046353.0;4135906.0;4131253.0;4184467.0
Центральный федеральный округ;30;485077.0;704297.0;929603.0;987700.0;1016899.0;1084531.0;1043998.0;1125740.0
Белгородская область;140;22675.0;36651.0;41324.0;43306.0;38924.0;38012.0;39114.0;41614.0
Брянская область;150;25439.0;35885.0;42954.0;41841.0;41879.0;42355.0;38905.0;35138.0
Владимирская область;170;15398.0;22287.0;27552.0;31039.0;32396.0;31842.0;33565.0;33537.0
Воронежская область;200;32434.0;46096.0;55914.0;59474.0;66239.0;65713.0;63628.0;64068.0
Ивановская область;240;12916.0;20867.0;26174.0;27751.0;27938.0;27729.0;28976.0;28727.0
Калужская область;290;10799.0;16222.0;20786.0;24465.0;24424.0;24061.0;26262.0;27781.0
Костромская область;340;8187.0;15807.0;19452.0;23315.0;25324.0;25227.0;25090.0;22614.0
Курская область;380;15161.0;24307.0;30378.0;36112.0;31286.0;30939.0;29831.0;30741.0
Липецкая область;420;12786.0;14978.0;23548.0;24334.0;26996.0;28330.0;31460.0;30967.0
Московская область;460;129821.0;206446.0;265920.0;274498.0;299007.0;294865.0;299119.0;303318.0
Орловская область;540;9312.0;17452.0;20560.0;20231.0;19252.0;18863.0;18368.0;18013.0
Рязанская область;610;12174.0;23135.0;26580.0;27757.0;28791.0;30268.0;32502.0;33546.0
Смоленская область;660;11203.0;19179.0;22496.0;23753.0;23924.0;25478.0;27477.0;27663.0
Тамбовская область;680;13680.0;17647.0;22585.0;24649.0;25516.0;28539.0;28328.0;27898.0
Тверская область;280;15166.0;27252.0;32245.0;34055.0;34135.0;35414.0;36990.0;34660.0
Тульская область;700;15616.0;28392.0;35368.0;35887.0;37789.0;36030.0;36212.0;36454.0
Ярославская область;780;11483.0;24861.0;30296.0;32745.0;33189.0;34637.0;35757.0;36023.0
Город Москва столица Российской Федерации город федерального значения;450;110827.0;106833.0;185471.0;202488.0;199890.0;266229.0;212414.0;292978.0
Северо-Западный федеральный округ;31;177293.0;341884.0;435736.0;486831.0;497691.0;514102.0;531726.0;564395.0
Республика Карелия;860;7602.0;14426.0;17649.0;20217.0;21217.0;21392.0;21374.0;21748.0
Республика Коми;870;13709.0;23866.0;27252.0;28135.0;31133.0;30825.0;33439.0;32327.0
Архангельская область;110;9500.0;28576.0;35420.0;36800.0;35288.0;36620.0;39087.0;39609.0
Ненецкий автономный округ (Архангельская область);111;591.0;1746.0;2286.0;2442.0;2042.0;1911.0;1938.0;2105.0
Архангельская область (кроме Ненецкого автономного округа);110;35221.0;35221.0;34358.0;34358.0;33246.0;34709.0;37149.0;37504.0
Вологодская область;190;14168.0;24479.0;29538.0;31914.0;33157.0;34035.0;34898.0;32217.0
Калининградская область;270;11075.0;18098.0;25194.0;28103.0;28467.0;30948.0;32675.0;35323.0
Ленинградская область;410;26621.0;50969.0;61308.0;65810.0;73618.0;75611.0;78934.0;90675.0
Мурманская область;470;13661.0;26086.0;30448.0;30670.0;33729.0;32964.0;34406.0;35669.0
Новгородская область;490;10670.0;19611.0;24829.0;24448.0;23824.0;21594.0;21846.0;21929.0
Псковская область;580;7823.0;18876.0;23283.0;25341.0;23528.0;24838.0;24795.0;25337.0
Город Санкт-Петербург город федерального значения;400;62464.0;116897.0;160815.0;195393.0;193730.0;205275.0;210272.0;229561.0
Южный федеральный округ (по 2009 год);32;275437.0;275437.0;326320.0;375650.0;375650.0;375650.0;375650.0;375650.0
Южный федеральный округ (с 2010 года);37;289094.0;317946.0;346798.0;375650.0;375352.0;377736.0;377736.0;377736.0
Южный федеральный округ (с 29.07.2016);40;430741.0;430741.0;430741.0;430741.0;430741.0;437036.0;437036.0;418150.0
