Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
В пределах России;52;;;;;;;;;
Белгород;144;10249.0;11000.0;10983.0;12261.0;10796.0;8725.0;8240.0;6334.0;8927.0
Старый Оскол;144;4423.0;4454.0;4573.0;4936.0;4603.0;4263.0;3847.0;2706.0;3218.0
Брянск;154;10459.0;10907.0;10000.0;10151.0;7800.0;8151.0;8296.0;7667.0;6997.0
Владимир;174;8643.0;8699.0;9197.0;9695.0;7285.0;4634.0;5845.0;5738.0;5157.0
Ковров;174;2815.0;3049.0;2665.0;2153.0;2353.0;1583.0;1674.0;1509.0;1625.0
Муром;174;2313.0;2612.0;2388.0;2332.0;1987.0;1724.0;1616.0;1755.0;1496.0
Воронеж;204;28666.0;25633.0;26296.0;28060.0;24645.0;19420.0;20412.0;18113.0;15792.0
Иваново;244;10100.0;11024.0;11168.0;11063.0;10333.0;8350.0;9077.0;8800.0;8285.0
Калуга;294;6158.0;4848.0;5796.0;4523.0;4785.0;6134.0;7592.0;6602.0;4929.0
Обнинск;294;3307.0;3965.0;4267.0;4625.0;1793.0;2122.0;6123.0;5344.0;5133.0
Кострома;344;8212.0;8404.0;7426.0;7074.0;7665.0;7429.0;6551.0;4958.0;5269.0
Курск;384;11140.0;10726.0;11459.0;12687.0;12134.0;9590.0;8686.0;8295.0;9996.0
Железногорск;384;;;;;;2161.0;1555.0;1655.0;1554.0
Магнитогорск;754;7147.0;7205.0;6833.0;6056.0;7492.0;8081.0;7442.0;6758.0;6587.0
Липецк;424;8091.0;9421.0;9564.0;10249.0;9393.0;7010.0;7188.0;6281.0;4525.0
Елец;424;2136.0;2319.0;2226.0;2412.0;2397.0;2006.0;1473.0;939.0;794.0
Люберцы;462;9163.0;14004.0;13970.0;;;10697.0;9385.0;12418.0;14439.0
Раменское;462;4944.0;5680.0;6170.0;7360.0;5739.0;5290.0;5301.0;3670.0;3853.0
Орехово-Зуево;464;2883.0;2648.0;2052.0;2500.0;2696.0;2292.0;2424.0;1947.0;1819.0
Подольск;464;9785.0;13517.0;11796.0;12944.0;14236.0;10596.0;9911.0;6896.0;7862.0
Серпухов;464;2487.0;2354.0;2996.0;2703.0;3310.0;2928.0;2862.0;2658.0;2585.0
Электросталь;464;3879.0;3886.0;4314.0;4139.0;3341.0;1157.0;783.0;856.0;1600.0
Орел;572;8428.0;7272.0;6455.0;6583.0;5489.0;3207.0;2723.0;2611.0;2769.0
Рязань;614;13580.0;14563.0;14134.0;14928.0;12881.0;11542.0;10680.0;9781.0;9672.0
Смоленск;664;7622.0;9174.0;9284.0;9332.0;7122.0;6395.0;6951.0;7999.0;7639.0
Тамбов;684;8499.0;8863.0;8820.0;9368.0;8083.0;6165.0;5074.0;4497.0;3964.0
Тверь;284;9289.0;;;;;10077.0;10055.0;9342.0;9321.0
Тула;704;8208.0;8718.0;8042.0;8319.0;8689.0;6477.0;6903.0;6925.0;5356.0
Ярославль;784;15084.0;14994.0;15534.0;17530.0;;10444.0;9816.0;10622.0;10644.0
Рыбинск;784;2268.0;2638.0;2544.0;2465.0;2318.0;2271.0;2218.0;2130.0;2088.0
Город Москва столица Российской Федерации город федерального значения;450;266229.0;212414.0;292978.0;314868.0;274402.0;209855.0;202354.0;276728.0;293618.0
Петрозаводск;864;7876.0;7904.0;8265.0;8677.0;8135.0;6460.0;7446.0;6610.0;5588.0
Сыктывкар;874;7277.0;7940.0;8013.0;7866.0;6566.0;6350.0;6578.0;6427.0;6136.0
Ухта;874;3538.0;3763.0;3793.0;3295.0;;;;;
Архангельск;114;8907.0;9368.0;9351.0;10318.0;9328.0;7629.0;8028.0;7221.0;7656.0
Северодвинск;114;3891.0;4519.0;4839.0;4982.0;4829.0;3980.0;3885.0;3733.0;3951.0
Нарьян-Мар;111;1136.0;1056.0;1141.0;1279.0;1207.0;1092.0;1091.0;1014.0;1524.0
Вологда;194;7283.0;6876.0;6344.0;5805.0;4043.0;3923.0;4016.0;3190.0;4163.0
Череповец;194;6032.0;6252.0;5792.0;5650.0;4472.0;3546.0;3583.0;2905.0;2846.0
Калининград;274;13597.0;14416.0;16061.0;17749.0;18213.0;17070.0;18208.0;14164.0;14113.0
Мурманск;474;8114.0;9002.0;9902.0;10246.0;7758.0;7194.0;7456.0;7866.0;9010.0
Великий Новгород;494;7382.0;8057.0;8391.0;8525.0;7780.0;7416.0;7614.0;6338.0;5599.0
Псков;584;7150.0;7756.0;8484.0;8593.0;8179.0;7126.0;6355.0;4500.0;4331.0
Великие Луки;584;2038.0;2097.0;2126.0;2310.0;;;;;
Город Санкт-Петербург город федерального значения;400;205275.0;210272.0;229561.0;213830.0;199896.0;164243.0;173977.0;158528.0;159664.0
Майкоп;794;4369.0;3454.0;2853.0;2495.0;2389.0;1862.0;2312.0;1971.0;1697.0
Элиста;854;5122.0;5188.0;4891.0;4842.0;5403.0;4556.0;4681.0;4723.0;4913.0
