Регион;Код;2017;2018;2019;2020;2021;2022;2023
Оба пола;12;;;;;;;
Городская местность;1;;;;;;;
Центральный федеральный округ;30;858948.0;916926.0;831371.0;693353.0;679434.0;737075.0;756383.0
Белгородская область;140;25530.0;28247.0;26099.0;22254.0;20876.0;16547.0;21434.0
Брянская область;150;22862.0;22993.0;19767.0;18579.0;18307.0;16954.0;16105.0
Владимирская область;170;24081.0;24682.0;22122.0;16793.0;17334.0;17020.0;15837.0
Воронежская область;200;39742.0;42021.0;38937.0;31504.0;31421.0;27919.0;25481.0
Ивановская область;240;21969.0;21712.0;21221.0;17978.0;18222.0;16243.0;15356.0
Калужская область;290;17970.0;17964.0;13926.0;16107.0;24024.0;21226.0;19373.0
Костромская область;340;13878.0;13566.0;13792.0;12884.0;11303.0;9438.0;9572.0
Курская область;380;19722.0;22211.0;21514.0;17114.0;15612.0;14837.0;15903.0
Липецкая область;420;15102.0;16387.0;15660.0;12135.0;11801.0;10077.0;8174.0
Московская область;460;241018.0;270645.0;250035.0;212965.0;225007.0;206820.0;214276.0
Орловская область;540;10657.0;11080.0;9487.0;6815.0;6062.0;5698.0;5817.0
Рязанская область;610;21874.0;23123.0;20495.0;18510.0;17172.0;16780.0;16603.0
Смоленская область;660;17444.0;17467.0;16408.0;14432.0;14354.0;14915.0;14464.0
Тамбовская область;680;16432.0;16800.0;15531.0;12694.0;11129.0;10344.0;9711.0
Тверская область;280;23090.0;23713.0;23649.0;21366.0;20640.0;19815.0;19180.0
Тульская область;700;23054.0;22962.0;22402.0;18930.0;18872.0;17966.0;17551.0
Ярославская область;780;24368.0;26517.0;23192.0;18493.0;17278.0;17748.0;17928.0
Город Москва столица Российской Федерации город федерального значения;450;280155.0;294836.0;257134.0;203800.0;180020.0;276728.0;293618.0
Северо-Западный федеральный округ;31;445481.0;440685.0;420780.0;377457.0;388015.0;355838.0;348348.0
Республика Карелия;860;15517.0;16118.0;14833.0;12350.0;13688.0;11996.0;10784.0
Республика Коми;870;24322.0;23935.0;19243.0;18197.0;18008.0;17411.0;18415.0
Архангельская область;110;27945.0;30502.0;29026.0;24644.0;25919.0;24465.0;25569.0
Ненецкий автономный округ (Архангельская область);111;1621.0;1797.0;1659.0;1491.0;1444.0;1452.0;1934.0
Архангельская область (кроме Ненецкого автономного округа);110;26324.0;28705.0;27367.0;23153.0;24475.0;23013.0;23635.0
Вологодская область;190;18738.0;17705.0;14471.0;12606.0;12739.0;10584.0;10932.0
Вологда;194;6344.0;5805.0;;;;;
Череповец;194;5792.0;5650.0;;;;;
Калининградская область;270;27190.0;30464.0;32504.0;30048.0;32150.0;26218.0;25547.0
Ленинградская область;410;40638.0;45847.0;52814.0;62674.0;61235.0;61047.0;51624.0
Мурманская область;470;31230.0;31167.0;27339.0;23690.0;22731.0;22197.0;24093.0
Новгородская область;490;14258.0;14311.0;13960.0;13917.0;13763.0;12141.0;10982.0
Псковская область;580;16082.0;16806.0;16694.0;15088.0;13805.0;11251.0;10738.0
Город Санкт-Петербург город федерального значения;400;229561.0;213830.0;199896.0;164243.0;173977.0;158528.0;159664.0
Южный федеральный округ (с 29.07.2016);40;269712.0;286063.0;258089.0;243003.0;250978.0;226712.0;255578.0
Республика Адыгея (Адыгея);790;6486.0;6874.0;7918.0;6052.0;7626.0;6524.0;6711.0
Республика Калмыкия;850;6003.0;5888.0;6446.0;5485.0;5614.0;5696.0;6154.0
Республика Крым;350;17742.0;19584.0;19942.0;21732.0;20084.0;18146.0;21614.0
Краснодарский край;300;108844.0;114774.0;97498.0;90122.0;99255.0;82445.0;92732.0
Краснодар;340;36383.0;35713.0;;;;;
Армавир;340;3358.0;2949.0;;;;;
Новороссийск;342;7664.0;6922.0;;;;;
Сочи;342;22491.0;25977.0;;;;;
Астраханская область;120;12695.0;12426.0;11438.0;9996.0;9340.0;8884.0;9047.0
Волгоградская область;180;38013.0;44678.0;38328.0;35205.0;35922.0;33754.0;32805.0
Ростовская область;600;63835.0;64737.0;60254.0;52651.0;49320.0;47368.0;63912.0
Город федерального значения Севастополь;670;16094.0;17102.0;16265.0;21760.0;23817.0;23895.0;22603.0
Северо-Кавказский федеральный округ;38;92300.0;99132.0;103435.0;85197.0;82093.0;79365.0;83065.0
Республика Дагестан;820;21421.0;21914.0;21419.0;17503.0;18051.0;19134.0;18339.0
Республика Ингушетия;260;5268.0;6811.0;6220.0;5006.0;5328.0;5385.0;5399.0
