Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;643;1910648.0;3057903.0;3778462.0;4014620.0;4046353.0;4135906.0;4131253.0;4184467.0
Центральный федеральный округ;30;381495.0;590802.0;783576.0;845149.0;897517.0;1084531.0;958772.0;1125740.0
Белгородская область;140;19816.0;31989.0;37265.0;40282.0;38338.0;38012.0;39285.0;41614.0
Брянская область;150;28581.0;41149.0;48874.0;48123.0;46781.0;42355.0;40726.0;35138.0
Владимирская область;170;17196.0;25009.0;31967.0;33519.0;34237.0;31842.0;35465.0;33537.0
Воронежская область;200;29866.0;43801.0;54411.0;58092.0;62332.0;65713.0;60610.0;64068.0
Ивановская область;240;13703.0;21928.0;27286.0;29906.0;30255.0;27729.0;31259.0;28727.0
Калужская область;290;13118.0;18836.0;23701.0;26612.0;26108.0;24061.0;27000.0;27781.0
Костромская область;340;9628.0;18358.0;21691.0;25148.0;26385.0;25227.0;26219.0;22614.0
Курская область;380;16358.0;25816.0;32078.0;36702.0;32373.0;30939.0;31760.0;30741.0
Липецкая область;420;14493.0;18886.0;26991.0;27606.0;29077.0;28330.0;33081.0;30967.0
Московская область;460;79715.0;115194.0;177160.0;192082.0;209279.0;294865.0;215787.0;303318.0
Орловская область;540;10873.0;18228.0;22743.0;22750.0;21045.0;18863.0;20588.0;18013.0
Рязанская область;610;13782.0;21967.0;26089.0;27868.0;29655.0;30268.0;32700.0;33546.0
Смоленская область;660;14073.0;22427.0;26989.0;27755.0;27683.0;25478.0;28869.0;27663.0
Тамбовская область;680;15542.0;22655.0;28358.0;30487.0;29846.0;28539.0;30734.0;27898.0
Тверская область;280;19252.0;30981.0;37958.0;40925.0;39525.0;35414.0;40079.0;34660.0
Тульская область;700;18429.0;30900.0;38913.0;39157.0;41598.0;36030.0;39674.0;36454.0
Ярославская область;780;11230.0;20945.0;26611.0;30011.0;31004.0;34637.0;34678.0;36023.0
Город Москва столица Российской Федерации город федерального значения;450;35840.0;61733.0;94491.0;108124.0;141996.0;266229.0;190258.0;292978.0
Северо-Западный федеральный округ;31;169640.0;308774.0;406246.0;445686.0;461920.0;514102.0;493189.0;564395.0
Республика Карелия;860;9050.0;16329.0;19650.0;22117.0;22596.0;21392.0;22621.0;21748.0
Республика Коми;870;22513.0;35213.0;38739.0;39639.0;40756.0;30825.0;41057.0;32327.0
Архангельская область;110;17702.0;38634.0;46037.0;46907.0;43757.0;36620.0;46725.0;39609.0
Ненецкий автономный округ (Архангельская область);111;743.0;1700.0;2317.0;2546.0;2202.0;1911.0;2331.0;2105.0
Архангельская область (кроме Ненецкого автономного округа);110;;;;44361.0;41555.0;34709.0;44394.0;37504.0
Вологодская область;190;14667.0;25825.0;31582.0;33917.0;35292.0;34035.0;37271.0;32217.0
Калининградская область;270;10468.0;16733.0;21252.0;24601.0;25638.0;30948.0;29005.0;35323.0
Ленинградская область;410;21184.0;31589.0;48311.0;51861.0;56659.0;75611.0;61398.0;90675.0
Мурманская область;470;21893.0;34319.0;39594.0;41748.0;40425.0;32964.0;39555.0;35669.0
Новгородская область;490;12156.0;19888.0;25998.0;25787.0;25258.0;21594.0;23086.0;21929.0
Псковская область;580;10353.0;19406.0;24266.0;26694.0;25304.0;24838.0;25957.0;25337.0
Город Санкт-Петербург город федерального значения;400;29654.0;70838.0;110817.0;132415.0;146235.0;205275.0;166514.0;229561.0
Южный федеральный округ (по 2009 год);32;;246717.0;309682.0;339809.0;;;;
Южный федеральный округ (с 2010 года);37;297754.0;;;339809.0;357118.0;377736.0;;
Южный федеральный округ (с 29.07.2016);40;;;;;;;400047.0;418150.0
Республика Адыгея (Адыгея);790;6363.0;9973.0;12555.0;13569.0;13998.0;16025.0;15007.0;14429.0
Республика Калмыкия;850;9377.0;13937.0;15788.0;14751.0;14164.0;13237.0;15397.0;12791.0
Республика Крым;350;;;;;;25316.0;29061.0;32697.0
Краснодарский край;300;56867.0;93588.0;127365.0;139470.0;155217.0;185381.0;147307.0;170452.0
Астраханская область;120;12816.0;18088.0;22128.0;24730.0;23561.0;20171.0;22599.0;19297.0
Волгоградская область;180;26871.0;37359.0;43578.0;48455.0;49061.0;43170.0;58862.0;53809.0
Ростовская область;600;48869.0;73772.0;88268.0;98834.0;101117.0;99752.0;102302.0;98204.0
Город федерального значения Севастополь;670;;;;;;16889.0;9512.0;16471.0
Северо-Кавказский федеральный округ;38;;197952.0;230698.0;236981.0;218908.0;185240.0;202563.0;167853.0
Республика Дагестан;820;45366.0;56228.0;63289.0;63142.0;57805.0;43241.0;54297.0;43797.0
Республика Ингушетия;260;4415.0;9274.0;7932.0;8012.0;7124.0;9823.0;5981.0;7265.0
Кабардино-Балкарская Республика;830;10096.0;15235.0;17805.0;18164.0;15434.0;10314.0;13747.0;10754.0
Карачаево-Черкесская Республика;910;9753.0;14073.0;16296.0;15404.0;14088.0;10855.0;12938.0;9651.0
Республика Северная Осетия-Алания;900;10065.0;17034.0;18705.0;19150.0;16639.0;12156.0;15382.0;11198.0
Чеченская Республика;960;15511.0;18815.0;21976.0;23081.0;20453.0;20211.0;22135.0;16622.0
Ставропольский край;700;41385.0;67293.0;84695.0;90028.0;87365.0;78640.0;78083.0;68566.0
Приволжский федеральный округ;33;402100.0;667889.0;806577.0;838832.0;844871.0;773956.0;827225.0;752440.0
Республика Башкортостан;800;74539.0;116241.0;140993.0;147638.0;147055.0;139431.0;145898.0;131632.0
Республика Марий Эл;880;11383.0;20245.0;22337.0;22354.0;20713.0;18632.0;20648.0;18781.0
Республика Мордовия;890;11964.0;19140.0;22466.0;22472.0;22425.0;17505.0;20386.0;17639.0
Республика Татарстан (Татарстан);920;52015.0;74554.0;88829.0;89386.0;93734.0;89377.0;86227.0;86797.0
Удмуртская Республика;940;15822.0;30639.0;39050.0;43101.0;45757.0;44140.0;47900.0;43329.0
Чувашская Республика - Чувашия;970;22097.0;35179.0;39757.0;39449.0;39240.0;39874.0;47400.0;41063.0
Пермский край;570;29887.0;63118.0;75995.0;81101.0;80099.0;73478.0;81943.0;78349.0
Коми-Пермяцкий округ, входящий в состав Пермского края;571;1660.0;;;;;;;
Кировская область;330;20773.0;40578.0;50836.0;53268.0;53933.0;48458.0;50387.0;48403.0
Нижегородская область;220;29965.0;53899.0;67221.0;71549.0;70534.0;69586.0;72304.0;66437.0
Оренбургская область;530;28557.0;52427.0;64113.0;65690.0;66664.0;52263.0;59158.0;45828.0
Пензенская область;560;17891.0;28897.0;35491.0;40252.0;37866.0;31709.0;33672.0;30176.0
Самарская область;360;35808.0;49834.0;61402.0;61729.0;63807.0;62083.0;66166.0;59596.0
Саратовская область;630;37091.0;58163.0;68029.0;71118.0;72286.0;61435.0;65004.0;57702.0
Ульяновская область;730;14308.0;24975.0;30058.0;29725.0;30758.0;25985.0;30132.0;26708.0
Уральский федеральный округ;34;189753.0;315595.0;394382.0;421004.0;409067.0;375355.0;395503.0;370516.0
Курганская область;370;16453.0;30841.0;40206.0;40322.0;36851.0;28119.0;32377.0;25822.0
Свердловская область;650;52885.0;83345.0;106171.0;115770.0;118048.0;110342.0;114899.0;111715.0
Тюменская область;710;77164.0;130245.0;164441.0;176509.0;165034.0;151170.0;156498.0;148597.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;40680.0;65971.0;81288.0;83840.0;80020.0;71673.0;79098.0;65709.0
Ямало-Ненецкий автономный округ (Тюменская область);711;17406.0;28849.0;38961.0;43744.0;40200.0;29197.0;36099.0;30311.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;;;;48925.0;44814.0;50300.0;41301.0;52577.0
Челябинская область;750;43251.0;71164.0;83564.0;88403.0;89134.0;85724.0;91729.0;84382.0
Сибирский федеральный округ;35;348407.0;528382.0;605705.0;633208.0;611196.0;569520.0;612879.0;563849.0
Республика Алтай;840;4786.0;10231.0;9896.0;10838.0;12039.0;12577.0;13029.0;12768.0
Республика Тыва;930;9755.0;12563.0;14176.0;13832.0;12537.0;10440.0;13166.0;12147.0
Республика Хакасия;950;13214.0;18756.0;21796.0;23072.0;22425.0;22824.0;23030.0;23081.0
Алтайский край;100;47811.0;79168.0;89934.0;91948.0;82218.0;71331.0;73963.0;62669.0
Агинский Бурятский округ (Забайкальский край);761;2478.0;;;;;;;
Красноярский край;400;59307.0;82156.0;97362.0;106549.0;108690.0;105824.0;112813.0;109508.0
Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);410;1350.0;;;;;;;
Эвенкийский автономный округ (Красноярский край);413;393.0;;;;;;;
Иркутская область;250;41642.0;61836.0;68530.0;75335.0;68449.0;57409.0;66672.0;62742.0
Кемеровская область - Кузбасс;320;40567.0;62382.0;70021.0;71537.0;74762.0;65960.0;77941.0;67165.0
Усть-Ордынский Бурятский округ;251;2944.0;;;;;;;
Новосибирская область;500;38157.0;58132.0;67865.0;71126.0;61373.0;67652.0;58956.0;62646.0
Омская область;520;28541.0;47652.0;55396.0;55899.0;55460.0;47664.0;55792.0;45306.0
Томская область;690;17253.0;26252.0;35915.0;36582.0;35818.0;36506.0;37165.0;38200.0
Дальневосточный федеральный округ;36;121499.0;201792.0;241596.0;253951.0;245756.0;213261.0;241075.0;221524.0
Республика Бурятия;810;23317.0;34649.0;39577.0;40964.0;41630.0;42458.0;46285.0;40119.0
Забайкальский край;760;24057.0;34605.0;35237.0;35526.0;35795.0;28875.0;34067.0;27498.0
Республика Саха (Якутия);980;21330.0;35445.0;40940.0;41786.0;37747.0;35430.0;40149.0;39519.0
Камчатский край;300;6919.0;9756.0;11480.0;13230.0;12681.0;9661.0;11764.0;8823.0
Корякский округ, входящий в состав Камчатского края;301;630.0;;;;;;;
Приморский край;500;30687.0;57203.0;69661.0;72498.0;71637.0;65323.0;69371.0;66095.0
Хабаровский край;800;23539.0;;;53889.0;52827.0;44638.0;50042.0;44628.0
Амурская область;100;18828.0;28672.0;29571.0;31756.0;30587.0;26132.0;29650.0;26601.0
Магаданская область;440;4776.0;7497.0;8379.0;8164.0;7760.0;4678.0;8152.0;6807.0
Сахалинская область;640;9721.0;16972.0;20979.0;21160.0;21643.0;18741.0;20980.0;20748.0
Еврейская автономная область;990;3993.0;6150.0;6465.0;6462.0;5913.0;4423.0;6174.0;4022.0
Чукотский автономный округ;770;1706.0;2939.0;4147.0;5006.0;4961.0;4235.0;4793.0;4281.0
Крымский федеральный округ;39;;;;;;42205.0;;
