Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Белгород;144;10524.0;10109.0;11562.0;12418.0;11361.0;8966.0;8020.0;8924.0;10676.0
Старый Оскол;144;4591.0;4358.0;4610.0;5184.0;4739.0;3769.0;3572.0;3603.0;3355.0
Брянск;154;11853.0;10180.0;10070.0;9796.0;9498.0;8166.0;7679.0;8037.0;7252.0
Владимир;174;6333.0;7054.0;7594.0;7838.0;7882.0;6409.0;6428.0;6708.0;6025.0
Ковров;174;2988.0;3009.0;2901.0;2883.0;2244.0;1971.0;1889.0;1885.0;1722.0
Муром;174;2581.0;2508.0;2616.0;2788.0;2408.0;1895.0;1791.0;1829.0;1774.0
Воронеж;204;22624.0;21199.0;22149.0;22850.0;22512.0;19279.0;17401.0;18047.0;16991.0
Иваново;244;10758.0;11163.0;10326.0;10476.0;10033.0;8818.0;8415.0;7831.0;7734.0
Калуга;294;6949.0;6729.0;6866.0;7336.0;6067.0;5005.0;6334.0;6668.0;6611.0
Обнинск;294;2846.0;2872.0;3405.0;3569.0;2816.0;2337.0;3326.0;3763.0;3689.0
Кострома;344;7881.0;7750.0;7552.0;7873.0;6624.0;5646.0;5158.0;4857.0;4297.0
Курск;384;9117.0;9115.0;9747.0;11004.0;10499.0;8368.0;9066.0;9115.0;8050.0
Железногорск;384;;;;;;1822.0;1676.0;1796.0;1626.0
Магнитогорск;754;7540.0;7518.0;8184.0;8420.0;6982.0;5686.0;6489.0;6089.0;6288.0
Липецк;424;10634.0;10515.0;9926.0;10424.0;9871.0;8180.0;8488.0;8073.0;6956.0
Елец;424;2431.0;2570.0;2405.0;2773.0;2477.0;1856.0;2188.0;2041.0;1827.0
Люберцы;462;8985.0;8447.0;10210.0;;;9335.0;9893.0;10123.0;11065.0
Раменское;462;2805.0;2973.0;3635.0;4055.0;4130.0;3907.0;3854.0;4020.0;4127.0
Орехово-Зуево;464;2693.0;2620.0;2635.0;2930.0;2622.0;2368.0;2350.0;2129.0;2235.0
Подольск;464;9176.0;9246.0;9809.0;11900.0;11145.0;9315.0;8721.0;9068.0;8248.0
Серпухов;464;3153.0;2808.0;2800.0;2989.0;2772.0;2551.0;2708.0;2373.0;2267.0
Электросталь;464;3684.0;3712.0;4171.0;4306.0;3786.0;3124.0;2429.0;2119.0;2181.0
