Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Российская Федерация;643;109067848.0;109545624.0;109936308.0;110195876.0;110418623.0;110381302.0;110101575.0;109818979.0;109591251.0;
Центральный федеральный округ;030;32370449.0;32597891.0;32801343.0;32988730.0;33143350.0;33175249.0;33117573.0;33084414.0;33051552.0;33090555.0
Белгородская область;14000000000;1023383.0;1024705.0;1024102.0;1020525.0;1018043.0;1013808.0;1006781.0;996581.0;985029.0;974565.0
Брянская область;15000000000;853011.0;849156.0;844631.0;837865.0;830810.0;823337.0;814457.0;806008.0;799306.0;793736.0
Владимирская область;17000000000;1094200.0;1090314.0;1085102.0;1077817.0;1071241.0;1062074.0;1048621.0;1035423.0;1022798.0;1011542.0
Воронежская область;20000000000;1571217.0;1579240.0;1585737.0;1590588.0;1593893.0;1589904.0;1581060.0;1571626.0;1561180.0;1552414.0
Ивановская область;24000000000;822121.0;813188.0;804037.0;793613.0;783811.0;773996.0;762874.0;754038.0;747323.0;741324.0
Калужская область;29000000000;787743.0;791353.0;794443.0;794753.0;793079.0;791933.0;798895.0;803447.0;800524.0;797853.0
Костромская область;34000000000;454109.0;451128.0;447731.0;442783.0;438260.0;434477.0;429464.0;425145.0;422802.0;420635.0
Курская область;38000000000;747803.0;753490.0;754186.0;751002.0;750145.0;748410.0;742212.0;734481.0;730132.0;726684.0
Липецкая область;42000000000;742473.0;741665.0;740416.0;738319.0;736268.0;731525.0;722663.0;713456.0;705510.0;699703.0
Московская область;46000000000;6169303.0;6277979.0;6380921.0;6473050.0;6567261.0;6627631.0;6672787.0;6715009.0;6736631.0;6791539.0
Орловская область;54000000000;505569.0;503417.0;499689.0;494551.0;489745.0;484275.0;477139.0;469891.0;463635.0;458653.0
Рязанская область;61000000000;809251.0;808405.0;807567.0;805591.0;802862.0;797558.0;788918.0;780615.0;774762.0;770228.0
