Регион;Код;2015 г.;2016 г.;2017 г.;2018 г.;2019 г.;2020 г.;2021 г.;2022 г.;2023 г.;2024 г.
Российская Федерация;643;494277.0;461278.0;320090.0;199043.0;246453.0;-321093.0;-238359.0;-326833.0;;
Центральный федеральный округ;030;251913.0;202969.0;203936.0;170838.0;138402.0;-74605.0;-40746.0;-25573.0;-40149.0;118154.0
Белгородская область;14000000000;382.0;2263.0;-3470.0;-3684.0;-1281.0;-7188.0;-6866.0;-13532.0;-9573.0;-11355.0
Брянская область;15000000000;-4907.0;-2802.0;-6248.0;-7283.0;-6827.0;-8121.0;-9636.0;-7264.0;-6139.0;-5003.0
Владимирская область;17000000000;-4103.0;-3669.0;-6754.0;-7817.0;-5335.0;-12998.0;-13909.0;-12485.0;-12766.0;-9746.0
Воронежская область;20000000000;8741.0;7303.0;5692.0;4012.0;2596.0;-10571.0;-7120.0;-11747.0;-9144.0;-8389.0
Ивановская область;24000000000;-9238.0;-8628.0;-9677.0;-11169.0;-8435.0;-11196.0;-11046.0;-6627.0;-6802.0;-5195.0
Калужская область;29000000000;1642.0;5579.0;600.0;21.0;-3368.0;1075.0;12847.0;-3741.0;-2107.0;-3231.0
Костромская область;34000000000;-3402.0;-2562.0;-4231.0;-5664.0;-3382.0;-4186.0;-5838.0;-2801.0;-1887.0;-2447.0
Курская область;38000000000;6226.0;5148.0;-3756.0;-2611.0;895.0;-4363.0;-8036.0;-7425.0;-1272.0;-5625.0
Липецкая область;42000000000;-1207.0;-410.0;-2087.0;-2110.0;-1993.0;-7493.0;-10229.0;-8186.0;-7705.0;-3907.0
Московская область;46000000000;98619.0;118732.0;87152.0;97107.0;91316.0;29422.0;60891.0;23553.0;19691.0;90124.0
Орловская область;54000000000;-1836.0;-2468.0;-4988.0;-5288.0;-4323.0;-6620.0;-7650.0;-6849.0;-5659.0;-4307.0
Рязанская область;61000000000;-1674.0;-18.0;-1659.0;-2291.0;-3169.0;-7438.0;-9842.0;-6762.0;-4945.0;-4122.0
Смоленская область;66000000000;-6057.0;-4434.0;-6083.0;-7311.0;-7283.0;-9694.0;-8187.0;-9903.0;-6435.0;-3887.0
Тамбовская область;68000000000;-5335.0;-3967.0;-1334.0;-9632.0;-4370.0;-7744.0;-8028.0;-6387.0;-4716.0;-4379.0
Тверская область;28000000000;-5105.0;-3512.0;-8331.0;-8297.0;-5452.0;-9842.0;-11394.0;-11377.0;-9435.0;-6318.0
Тульская область;70000000000;-8367.0;-7683.0;-8228.0;-12246.0;-12548.0;-17113.0;-17216.0;-13218.0;-9492.0;-11103.0
Ярославская область;78000000000;-2220.0;-3125.0;-5125.0;-9984.0;-7546.0;-13346.0;-15195.0;-9873.0;-7389.0;-7438.0
Город Москва столица Российской Федерации город федерального значения;45000000000;189754.0;107222.0;182463.0;165085.0;118907.0;32811.0;35708.0;89051.0;45626.0;124482.0
Северо-Западный федеральный округ;031;20113.0;45466.0;43738.0;18645.0;62160.0;-14820.0;-10022.0;-33583.0;-8269.0;92764.0
Республика Карелия;86000000000;-8744.0;-8112.0;-11523.0;-9360.0;-6200.0;-6995.0;-6192.0;-1932.0;-2122.0;-3272.0
Республика Коми;87000000000;-10026.0;-9346.0;-12080.0;-12824.0;-13059.0;-10154.0;-12067.0;-5094.0;-3257.0;-3370.0
Архангельская область;11000000000;-11323.0;-11600.0;-14501.0;-13790.0;-11598.0;-13367.0;-15078.0;-5605.0;-3317.0;-4039.0
Ненецкий автономный округ (Архангельская область);11100000000;425.0;-162.0;-56.0;-162.0;174.0;152.0;66.0;94.0;750.0;-200.0
Архангельская область (кроме Ненецкого автономного округа);11001000000;-11748.0;-11438.0;-14445.0;-13628.0;-11772.0;-13519.0;-15144.0;-5699.0;-4067.0;-3839.0
Вологодская область;19000000000;-108.0;-1125.0;-3748.0;-4710.0;-5450.0;-6638.0;-7642.0;-6346.0;-3806.0;-2533.0
