Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Центральный федеральный округ;30;Женщины;Городская местность;464511.0;498748.0;450762.0;377197.0;368095.0;403415.0;417786.0
Белгородская область;140;Женщины;Городская местность;13794.0;15261.0;13763.0;11802.0;11276.0;8885.0;11777.0
Брянская область;150;Женщины;Городская местность;12175.0;12349.0;10525.0;9886.0;9894.0;9127.0;8733.0
Владимирская область;170;Женщины;Городская местность;12938.0;13304.0;11938.0;8965.0;9316.0;9019.0;8411.0
Воронежская область;200;Женщины;Городская местность;21599.0;22856.0;21134.0;17257.0;16971.0;15013.0;13519.0
Ивановская область;240;Женщины;Городская местность;11517.0;11536.0;10987.0;9621.0;9631.0;8526.0;8048.0
Калужская область;290;Женщины;Городская местность;9215.0;9172.0;7016.0;8311.0;12550.0;11173.0;10273.0
Костромская область;340;Женщины;Городская местность;7590.0;7407.0;7494.0;7008.0;6203.0;5136.0;5244.0
Курская область;380;Женщины;Городская местность;10753.0;12187.0;11677.0;9349.0;8431.0;8021.0;8624.0
Липецкая область;420;Женщины;Городская местность;8273.0;9040.0;8449.0;6616.0;6383.0;5347.0;4412.0
Московская область;460;Женщины;Городская местность;129777.0;146917.0;135724.0;116372.0;122232.0;113228.0;119862.0
Орловская область;540;Женщины;Городская местность;5813.0;5891.0;5192.0;3733.0;3222.0;3138.0;3180.0
Рязанская область;610;Женщины;Городская местность;12184.0;12768.0;10835.0;9682.0;9201.0;8956.0;8845.0
Смоленская область;660;Женщины;Городская местность;9124.0;9204.0;8903.0;7688.0;7696.0;7928.0;7466.0
Тамбовская область;680;Женщины;Городская местность;8692.0;9004.0;8296.0;6792.0;5965.0;5448.0;5125.0
Тверская область;280;Женщины;Городская местность;12564.0;12943.0;12807.0;11726.0;11295.0;10767.0;10379.0
Тульская область;700;Женщины;Городская местность;12224.0;12126.0;11632.0;10250.0;10058.0;9540.0;9422.0
Ярославская область;780;Женщины;Городская местность;13423.0;14534.0;12537.0;9969.0;9390.0;9463.0;9638.0
Город Москва столица Российской Федерации город федерального значения;450;Женщины;Городская местность;152856.0;162249.0;141853.0;112170.0;98381.0;154700.0;164828.0
Северо-Западный федеральный округ;31;Женщины;Городская местность;238828.0;236877.0;225402.0;204510.0;210975.0;195051.0;191915.0
Республика Карелия;860;Женщины;Городская местность;8138.0;8640.0;7833.0;6588.0;7346.0;6520.0;5714.0
Республика Коми;870;Женщины;Городская местность;12655.0;12428.0;9866.0;9435.0;9324.0;9117.0;9918.0
Архангельская область;110;Женщины;Городская местность;14858.0;16191.0;15266.0;13123.0;13649.0;12988.0;13656.0
Ненецкий автономный округ (Архангельская область);111;Женщины;Городская местность;833.0;942.0;867.0;798.0;713.0;756.0;1168.0
Архангельская область (кроме Ненецкого автономного округа);110;Женщины;Городская местность;14025.0;15249.0;14399.0;12325.0;12936.0;12232.0;12488.0
Вологодская область;190;Женщины;Городская местность;10557.0;10088.0;8045.0;6884.0;7190.0;5787.0;6144.0
Вологда;194;Женщины;Городская местность;3694.0;3392.0;3392.0;3392.0;3392.0;3392.0;3392.0
Череповец;194;Женщины;Городская местность;3233.0;3144.0;3144.0;3144.0;3144.0;3144.0;3144.0
Калининградская область;270;Женщины;Городская местность;14743.0;16370.0;17405.0;16262.0;17594.0;14529.0;14158.0
Ленинградская область;410;Женщины;Городская местность;21056.0;24053.0;28100.0;34552.0;33696.0;33616.0;28456.0
Мурманская область;470;Женщины;Городская местность;15231.0;15469.0;13402.0;11602.0;11127.0;11008.0;12287.0
Новгородская область;490;Женщины;Городская местность;7966.0;7800.0;7688.0;7655.0;7643.0;6701.0;5965.0
Псковская область;580;Женщины;Городская местность;8037.0;8446.0;8546.0;7773.0;7052.0;5901.0;5791.0
Город Санкт-Петербург город федерального значения;400;Женщины;Городская местность;125587.0;117392.0;109251.0;90636.0;96354.0;88884.0;89826.0
Южный федеральный округ (с 29.07.2016);40;Женщины;Городская местность;144094.0;153399.0;137787.0;129715.0;135664.0;122723.0;139067.0
Республика Адыгея (Адыгея);790;Женщины;Городская местность;3537.0;3803.0;4363.0;3391.0;4266.0;3645.0;3756.0
Республика Калмыкия;850;Женщины;Городская местность;3284.0;3148.0;3460.0;2902.0;3027.0;3014.0;3124.0
Республика Крым;350;Женщины;Городская местность;8701.0;9826.0;10042.0;11003.0;10335.0;9303.0;11336.0
Краснодарский край;300;Женщины;Городская местность;60239.0;64422.0;54154.0;50146.0;55769.0;46618.0;52906.0
Краснодар;340;Женщины;Городская местность;20767.0;20849.0;20849.0;20849.0;20849.0;20849.0;20849.0
Армавир;340;Женщины;Городская местность;1758.0;1655.0;1655.0;1655.0;1655.0;1655.0;1655.0
Новороссийск;342;Женщины;Городская местность;3870.0;3580.0;3580.0;3580.0;3580.0;3580.0;3580.0
Сочи;342;Женщины;Городская местность;12862.0;14881.0;14881.0;14881.0;14881.0;14881.0;14881.0
Астраханская область;120;Женщины;Городская местность;6800.0;6567.0;6035.0;5188.0;5020.0;4686.0;4799.0
Волгоградская область;180;Женщины;Городская местность;20387.0;23661.0;20306.0;18324.0;19164.0;17541.0;17013.0
Ростовская область;600;Женщины;Городская местность;33690.0;33967.0;31670.0;28237.0;26773.0;25598.0;34470.0
Город федерального значения Севастополь;670;Женщины;Городская местность;7456.0;8005.0;7757.0;10524.0;11310.0;12318.0;11663.0
Северо-Кавказский федеральный округ;38;Женщины;Городская местность;49676.0;53801.0;55546.0;46039.0;44742.0;43270.0;45444.0
Республика Дагестан;820;Женщины;Городская местность;11615.0;11852.0;11129.0;9162.0;9659.0;10413.0;9843.0
Республика Ингушетия;260;Женщины;Городская местность;2804.0;3649.0;3276.0;2659.0;2861.0;2810.0;2962.0
Кабардино-Балкарская Республика;830;Женщины;Городская местность;3762.0;3692.0;3369.0;3043.0;2621.0;2668.0;2931.0
Карачаево-Черкесская Республика;910;Женщины;Городская местность;2132.0;2519.0;2686.0;2692.0;2728.0;2660.0;2758.0
Республика Северная Осетия-Алания;900;Женщины;Городская местность;3836.0;3856.0;3247.0;2571.0;2051.0;2065.0;2453.0
Чеченская Республика;960;Женщины;Городская местность;4049.0;3691.0;3729.0;3209.0;2990.0;2694.0;2311.0
Ставропольский край;700;Женщины;Городская местность;21478.0;24542.0;28110.0;22703.0;21832.0;19960.0;22186.0
Приволжский федеральный округ;33;Женщины;Городская местность;256149.0;264521.0;252503.0;219201.0;227419.0;210149.0;208027.0
Республика Башкортостан;800;Женщины;Городская местность;37727.0;39531.0;38540.0;32190.0;39575.0;36955.0;37244.0
Республика Марий Эл;880;Женщины;Городская местность;7633.0;7611.0;8171.0;8059.0;7746.0;7247.0;6722.0
Республика Мордовия;890;Женщины;Городская местность;5923.0;6417.0;6330.0;5289.0;5703.0;4954.0;5227.0
Республика Татарстан (Татарстан);920;Женщины;Городская местность;32351.0;32756.0;29010.0;27102.0;28615.0;25310.0;25650.0
Удмуртская Республика;940;Женщины;Городская местность;13355.0;13430.0;10977.0;10540.0;11266.0;11214.0;10793.0
Чувашская Республика - Чувашия;970;Женщины;Городская местность;13786.0;14940.0;12374.0;10925.0;11628.0;9886.0;9935.0
Пермский край;570;Женщины;Городская местность;27955.0;28441.0;25943.0;21982.0;21945.0;20250.0;20884.0
Кировская область;330;Женщины;Городская местность;19149.0;19884.0;19151.0;16632.0;16399.0;16453.0;16577.0
Нижегородская область;220;Женщины;Городская местность;22877.0;24193.0;25011.0;22382.0;21592.0;19711.0;18435.0
Оренбургская область;530;Женщины;Городская местность;12643.0;12396.0;14426.0;12196.0;11740.0;10099.0;9591.0
Пензенская область;560;Женщины;Городская местность;10030.0;9915.0;9904.0;7571.0;6336.0;6436.0;6666.0
Самарская область;360;Женщины;Городская местность;20709.0;23106.0;22467.0;19056.0;20545.0;18456.0;17541.0
Саратовская область;630;Женщины;Городская местность;21601.0;21007.0;21074.0;16962.0;16034.0;16138.0;16020.0
Саратов;634;Женщины;Городская местность;9771.0;9771.0;9771.0;9771.0;9771.0;9771.0;9771.0
Балаково;634;Женщины;Городская местность;1555.0;1555.0;1555.0;1555.0;1555.0;1555.0;1555.0
Ульяновская область;730;Женщины;Городская местность;10410.0;10894.0;9125.0;8315.0;8295.0;7040.0;6742.0
Уральский федеральный округ;34;Женщины;Городская местность;154569.0;157172.0;138016.0;128777.0;127842.0;117178.0;116102.0
Курганская область;370;Женщины;Городская местность;6709.0;8229.0;7322.0;7502.0;6905.0;6665.0;6530.0
Свердловская область;650;Женщины;Городская местность;49749.0;50516.0;40717.0;38633.0;38333.0;33067.0;30964.0
Тюменская область;710;Женщины;Городская местность;64752.0;66157.0;58760.0;53803.0;54252.0;50156.0;53610.0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;Женщины;Городская местность;30355.0;31375.0;27466.0;26166.0;26166.0;26166.0;26166.0
Ямало-Ненецкий автономный округ (Тюменская область);711;Женщины;Городская местность;13252.0;13482.0;12154.0;10879.0;10894.0;9598.0;9814.0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;Женщины;Городская местность;21145.0;21300.0;19140.0;16758.0;16980.0;15172.0;13645.0
Челябинская область;750;Женщины;Городская местность;33359.0;32270.0;31217.0;28839.0;28352.0;27290.0;24998.0
Сибирский федеральный округ;35;Женщины;Городская местность;204153.0;204153.0;204153.0;204153.0;204153.0;204153.0;204153.0
Сибирский федеральный округ (с 03.11.2018);41;Женщины;Городская местность;189427.0;189427.0;163942.0;145986.0;152631.0;143588.0;140882.0
Республика Алтай;840;Женщины;Городская местность;2006.0;2236.0;2193.0;1833.0;1784.0;1594.0;1538.0
Республика Тыва;930;Женщины;Городская местность;4285.0;4493.0;3658.0;3223.0;4173.0;4891.0;3835.0
Республика Хакасия;950;Женщины;Городская местность;9004.0;8717.0;7328.0;7292.0;7515.0;7230.0;7272.0
Алтайский край;100;Женщины;Городская местность;15833.0;18340.0;18136.0;15209.0;15579.0;13908.0;13563.0
Чита;764;Женщины;Городская местность;5383.0;5410.0;5410.0;5410.0;5410.0;5410.0;5410.0
Красноярский край;400;Женщины;Городская местность;41736.0;43906.0;38325.0;37584.0;42004.0;40577.0;42145.0
Иркутская область;250;Женщины;Городская местность;24555.0;26085.0;19752.0;17293.0;16326.0;15817.0;14997.0
Кемеровская область - Кузбасс;320;Женщины;Городская местность;29584.0;29096.0;25331.0;22464.0;21920.0;20598.0;19744.0
Новосибирская область;500;Женщины;Городская местность;24821.0;27513.0;24849.0;21958.0;23221.0;20758.0;20401.0
Омская область;520;Женщины;Городская местность;14816.0;14982.0;13645.0;11488.0;11849.0;10870.0;11064.0
Томская область;690;Женщины;Городская местность;14569.0;14059.0;10725.0;7642.0;8260.0;7345.0;6323.0
