Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Центральный федеральный округ;30;Женщины;Городская местность;391790.0;425160.0;405052.0;360208.0;345491.0;352792.0;384935.0
Белгородская область;140;Женщины;Городская местность;13861.0;15431.0;14182.0;11476.0;10750.0;11568.0;13065.0
Брянская область;150;Женщины;Городская местность;13052.0;13527.0;11924.0;9919.0;9730.0;10132.0;9108.0
Владимирская область;170;Женщины;Городская местность;14425.0;14860.0;13442.0;10772.0;10834.0;11035.0;10185.0
Воронежская область;200;Женщины;Городская местность;19779.0;20126.0;18634.0;16095.0;15210.0;15422.0;13910.0
Ивановская область;240;Женщины;Городская местность;12467.0;12771.0;11583.0;10101.0;9702.0;9370.0;8656.0
Калужская область;290;Женщины;Городская местность;10262.0;10456.0;8532.0;7477.0;10118.0;10775.0;10220.0
Костромская область;340;Женщины;Городская местность;7659.0;7923.0;7131.0;6058.0;5789.0;5230.0;4864.0
Курская область;380;Женщины;Городская местность;10713.0;11743.0;11040.0;8687.0;8904.0;8915.0;8121.0
Липецкая область;420;Женщины;Городская местность;8334.0;9047.0;8437.0;6797.0;7224.0;6771.0;5982.0
Московская область;460;Женщины;Городская местность;103044.0;111262.0;109151.0;107153.0;99447.0;97923.0;104539.0
Орловская область;540;Женщины;Городская местность;6562.0;6838.0;5925.0;4717.0;4272.0;4330.0;4200.0
Рязанская область;610;Женщины;Городская местность;11469.0;11778.0;10920.0;9421.0;9299.0;9384.0;9225.0
Смоленская область;660;Женщины;Городская местность;10660.0;10750.0;10107.0;8325.0;8727.0;8992.0;8144.0
Тамбовская область;680;Женщины;Городская местность;8730.0;9197.0;8128.0;6456.0;6119.0;5792.0;5359.0
Тверская область;280;Женщины;Городская местность;14243.0;14377.0;13972.0;11781.0;12151.0;11778.0;11360.0
Тульская область;700;Женщины;Городская местность;13658.0;14127.0;12535.0;10650.0;10651.0;10667.0;9607.0
Ярославская область;780;Женщины;Городская местность;12753.0;13140.0;12575.0;10843.0;10113.0;10297.0;10061.0
Город Москва столица Российской Федерации город федерального значения;450;Женщины;Городская местность;100119.0;117807.0;116834.0;103480.0;96451.0;104411.0;138329.0
Северо-Западный федеральный округ;31;Женщины;Городская местность;218436.0;224421.0;210352.0;189211.0;192900.0;183193.0;176151.0
Республика Карелия;860;Женщины;Городская местность;8539.0;8396.0;7624.0;6198.0;6587.0;5780.0;5347.0
Республика Коми;870;Женщины;Городская местность;16116.0;15955.0;13818.0;11467.0;11605.0;11033.0;10208.0
Архангельская область;110;Женщины;Городская местность;17262.0;17617.0;15927.0;13073.0;13655.0;13138.0;13187.0
Ненецкий автономный округ (Архангельская область);111;Женщины;Городская местность;875.0;927.0;816.0;653.0;703.0;721.0;715.0
Архангельская область (кроме Ненецкого автономного округа);110;Женщины;Городская местность;16387.0;16690.0;15111.0;12420.0;12952.0;12417.0;12472.0
Вологодская область;190;Женщины;Городская местность;11364.0;10907.0;9502.0;7752.0;7663.0;6979.0;6518.0
Вологда;194;Женщины;Городская местность;4160.0;3742.0;3742.0;3742.0;3742.0;3742.0;3742.0
Череповец;194;Женщины;Городская местность;3345.0;3362.0;3362.0;3362.0;3362.0;3362.0;3362.0
Калининградская область;270;Женщины;Городская местность;11832.0;12944.0;13178.0;12099.0;13159.0;12858.0;12231.0
Ленинградская область;410;Женщины;Городская местность;20540.0;21083.0;21650.0;22227.0;22997.0;22527.0;22590.0
Мурманская область;470;Женщины;Городская местность;18178.0;17976.0;16704.0;13928.0;13693.0;12924.0;11966.0
