Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Белгород;144;-275.0;891.0;-579.0;-157.0;-565.0;-241.0;220.0;-2590.0;-1749.0
Старый Оскол;144;-168.0;96.0;-37.0;-248.0;-136.0;494.0;275.0;-897.0;-137.0
Брянск;154;-1394.0;727.0;-70.0;355.0;-1698.0;-15.0;617.0;-370.0;-255.0
Владимир;174;2310.0;1645.0;1603.0;1857.0;-597.0;-1775.0;-583.0;-970.0;-868.0
Ковров;174;-173.0;40.0;-236.0;-730.0;109.0;-388.0;-215.0;-376.0;-97.0
Муром;174;-268.0;104.0;-228.0;-456.0;-421.0;-171.0;-175.0;-74.0;-278.0
Воронеж;204;6042.0;4434.0;4147.0;5210.0;2133.0;141.0;3011.0;66.0;-1199.0
Иваново;244;-658.0;-139.0;842.0;587.0;300.0;-468.0;662.0;969.0;551.0
Калуга;294;-791.0;-1881.0;-1070.0;-2813.0;-1282.0;1129.0;1258.0;-66.0;-1682.0
Обнинск;294;461.0;1093.0;862.0;1056.0;-1023.0;-215.0;2797.0;1581.0;1444.0
Кострома;344;331.0;654.0;-126.0;-799.0;1041.0;1783.0;1393.0;101.0;972.0
Курск;384;2023.0;1611.0;1712.0;1683.0;1635.0;1222.0;-380.0;-820.0;1946.0
Железногорск;384;69.0;69.0;69.0;69.0;339.0;339.0;-121.0;-141.0;-72.0
Магнитогорск;754;-393.0;-313.0;-1351.0;-2364.0;510.0;2395.0;953.0;669.0;299.0
Липецк;424;-2543.0;-1094.0;-362.0;-175.0;-478.0;-1170.0;-1300.0;-1792.0;-2431.0
Елец;424;-295.0;-251.0;-179.0;-361.0;-80.0;150.0;-715.0;-1102.0;-1033.0
Люберцы;462;178.0;5557.0;3760.0;2961.0;2161.0;1362.0;-508.0;2295.0;3374.0
Раменское;462;2139.0;2707.0;2535.0;3305.0;1609.0;1383.0;1447.0;-350.0;-274.0
Орехово-Зуево;464;190.0;28.0;-583.0;-430.0;74.0;-76.0;74.0;-182.0;-416.0
Подольск;464;609.0;4271.0;1987.0;1044.0;3091.0;1281.0;1190.0;-2172.0;-386.0
Серпухов;464;-666.0;-454.0;196.0;-286.0;538.0;377.0;154.0;285.0;318.0
Электросталь;464;195.0;174.0;143.0;-167.0;-445.0;-1967.0;-1646.0;-1263.0;-581.0
Орел;572;544.0;-104.0;-1290.0;-1511.0;-1379.0;-2301.0;-2081.0;-2252.0;-1683.0
Рязань;614;2825.0;2948.0;1882.0;2542.0;703.0;405.0;86.0;-764.0;-435.0
Смоленск;664;-1508.0;290.0;-357.0;-715.0;-2334.0;-1390.0;-1615.0;-319.0;187.0
Тамбов;684;2159.0;2393.0;1876.0;1995.0;938.0;634.0;-405.0;-507.0;-540.0
Тверь;284;1302.0;1514.0;1726.0;1939.0;2151.0;2363.0;1527.0;577.0;472.0
Тула;704;-618.0;356.0;-612.0;-928.0;168.0;-1240.0;-823.0;-698.0;-1574.0
Ярославль;784;2397.0;1355.0;1839.0;3137.0;286.0;-2565.0;-1852.0;-1125.0;-662.0
Рыбинск;784;-672.0;-447.0;-284.0;-314.0;-526.0;-134.0;-131.0;-309.0;-210.0
Город Москва столица Российской Федерации город федерального значения;450;99823.0;22156.0;98718.0;86094.0;48406.0;9371.0;16685.0;80173.0;39847.0
Петрозаводск;864;943.0;828.0;1116.0;1481.0;1580.0;1126.0;1846.0;1575.0;892.0
Сыктывкар;874;153.0;216.0;-38.0;-324.0;-682.0;-66.0;202.0;92.0;168.0
Ухта;874;-875.0;-639.0;-836.0;-1024.0;-1024.0;-1024.0;-1024.0;-1024.0;-1024.0
Архангельск;114;-240.0;-328.0;-1533.0;-571.0;-1017.0;-240.0;-91.0;-658.0;-294.0
Северодвинск;114;-1582.0;-1099.0;-735.0;-574.0;103.0;-201.0;76.0;225.0;405.0
Нарьян-Мар;111;209.0;-227.0;-58.0;-36.0;51.0;208.0;89.0;49.0;593.0
Вологда;194;128.0;-875.0;-1022.0;-627.0;-1715.0;-1000.0;-973.0;-1026.0;464.0
Череповец;194;-425.0;-398.0;-557.0;-685.0;-1098.0;-939.0;-562.0;-1048.0;-801.0
Калининград;274;3160.0;3434.0;4349.0;4957.0;4972.0;5146.0;5014.0;789.0;1758.0
Мурманск;474;-4825.0;-3476.0;-2801.0;-2374.0;-4047.0;-2306.0;-1933.0;-858.0;393.0
Великий Новгород;494;-520.0;134.0;484.0;1682.0;963.0;818.0;1127.0;117.0;19.0
Псков;584;-59.0;588.0;259.0;740.0;590.0;635.0;617.0;-1456.0;-1413.0
Великие Луки;584;-1237.0;-810.0;-733.0;-197.0;-197.0;-197.0;-197.0;-197.0;-197.0
Город Санкт-Петербург город федерального значения;400;51179.0;43758.0;46977.0;21034.0;20023.0;1026.0;7904.0;1700.0;10040.0
Майкоп;794;-177.0;-1008.0;-1351.0;-1443.0;-1414.0;-1441.0;-559.0;-1220.0;-1093.0
Элиста;854;-999.0;-694.0;-1117.0;-992.0;107.0;278.0;115.0;-350.0;632.0
