Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
Российская Федерация;643;0.0;-1030.0;0.0;0.0;0.0;0.0;0.0;0.0
Центральный федеральный округ;30;103582.0;113495.0;146027.0;142551.0;119382.0;0.0;85226.0;0.0
Белгородская область;140;2859.0;4662.0;4059.0;3024.0;586.0;0.0;-171.0;0.0
Брянская область;150;-3142.0;-5264.0;-5920.0;-6282.0;-4902.0;0.0;-1821.0;0.0
Владимирская область;170;-1798.0;-2722.0;-4415.0;-2480.0;-1841.0;0.0;-1900.0;0.0
Воронежская область;200;2568.0;2295.0;1503.0;1382.0;3907.0;0.0;3018.0;0.0
Ивановская область;240;-787.0;-1061.0;-1112.0;-2155.0;-2317.0;0.0;-2283.0;0.0
Калужская область;290;-2319.0;-2614.0;-2915.0;-2147.0;-1684.0;0.0;-738.0;0.0
Костромская область;340;-1441.0;-2551.0;-2239.0;-1833.0;-1061.0;0.0;-1129.0;0.0
Курская область;380;-1197.0;-1509.0;-1700.0;-590.0;-1087.0;0.0;-1929.0;0.0
Липецкая область;420;-1707.0;-3908.0;-3443.0;-3272.0;-2081.0;0.0;-1621.0;0.0
Московская область;460;50106.0;91252.0;88760.0;82416.0;89728.0;0.0;83332.0;0.0
Орловская область;540;-1561.0;-776.0;-2183.0;-2519.0;-1793.0;0.0;-2220.0;0.0
Рязанская область;610;-1608.0;1168.0;491.0;-111.0;-864.0;0.0;-198.0;0.0
Смоленская область;660;-2870.0;-3248.0;-4493.0;-4002.0;-3759.0;0.0;-1392.0;0.0
Тамбовская область;680;-1862.0;-5008.0;-5773.0;-5838.0;-4330.0;0.0;-2406.0;0.0
Тверская область;280;-4086.0;-3729.0;-5713.0;-6870.0;-5390.0;0.0;-3089.0;0.0
Тульская область;700;-2813.0;-2508.0;-3545.0;-3270.0;-3809.0;0.0;-3462.0;0.0
Ярославская область;780;253.0;3916.0;3685.0;2734.0;2185.0;0.0;1079.0;0.0
Город Москва столица Российской Федерации город федерального значения;450;74987.0;45100.0;90980.0;94364.0;57894.0;0.0;22156.0;0.0
Северо-Западный федеральный округ;31;7653.0;33110.0;29490.0;41145.0;35771.0;0.0;38537.0;0.0
Республика Карелия;860;-1448.0;-1903.0;-2001.0;-1900.0;-1379.0;0.0;-1247.0;0.0
Республика Коми;870;-8804.0;-11347.0;-11487.0;-11504.0;-9623.0;0.0;-7618.0;0.0
Архангельская область;110;-8202.0;-10058.0;-10617.0;-10107.0;-8469.0;0.0;-7638.0;0.0
Ненецкий автономный округ (Архангельская область);111;-152.0;46.0;-31.0;-104.0;-160.0;0.0;-393.0;0.0
Архангельская область (кроме Ненецкого автономного округа);110;-5926.0;-5926.0;-10003.0;-10003.0;-8309.0;0.0;-7245.0;0.0
Вологодская область;190;-499.0;-1346.0;-2044.0;-2003.0;-2135.0;0.0;-2373.0;0.0
Калининградская область;270;607.0;1365.0;3942.0;3502.0;2829.0;0.0;3670.0;0.0
Ленинградская область;410;5437.0;19380.0;12997.0;13949.0;16959.0;0.0;17536.0;0.0
Мурманская область;470;-8232.0;-8233.0;-9146.0;-11078.0;-6696.0;0.0;-5149.0;0.0
Новгородская область;490;-1486.0;-277.0;-1169.0;-1339.0;-1434.0;0.0;-1240.0;0.0
Псковская область;580;-2530.0;-530.0;-983.0;-1353.0;-1776.0;0.0;-1162.0;0.0
Город Санкт-Петербург город федерального значения;400;32810.0;46059.0;49998.0;62978.0;47495.0;0.0;43758.0;0.0
Южный федеральный округ (по 2009 год);32;28720.0;28720.0;16638.0;35841.0;35841.0;35841.0;35841.0;35841.0
Южный федеральный округ (с 2010 года);37;-8660.0;6174.0;21007.0;35841.0;18234.0;0.0;0.0;0.0
Южный федеральный округ (с 29.07.2016);40;24660.0;24660.0;24660.0;24660.0;24660.0;36989.0;36989.0;0.0
Республика Адыгея (Адыгея);790;175.0;1630.0;593.0;616.0;1702.0;0.0;1148.0;0.0
