Регион;Код;Пол;Местность;2017;2018;2019;2020;2021;2022;2023
Центральный федеральный округ;30;Женщины;Городская местность;72721.0;73588.0;45710.0;16989.0;22604.0;50623.0;32851.0
Белгородская область;140;Женщины;Городская местность;-67.0;-170.0;-419.0;326.0;526.0;-2683.0;-1288.0
Брянская область;150;Женщины;Городская местность;-877.0;-1178.0;-1399.0;-33.0;164.0;-1005.0;-375.0
Владимирская область;170;Женщины;Городская местность;-1487.0;-1556.0;-1504.0;-1807.0;-1518.0;-2016.0;-1774.0
Воронежская область;200;Женщины;Городская местность;1820.0;2730.0;2500.0;1162.0;1761.0;-409.0;-391.0
Ивановская область;240;Женщины;Городская местность;-950.0;-1235.0;-596.0;-480.0;-71.0;-844.0;-608.0
Калужская область;290;Женщины;Городская местность;-1047.0;-1284.0;-1516.0;834.0;2432.0;398.0;53.0
Костромская область;340;Женщины;Городская местность;-69.0;-516.0;363.0;950.0;414.0;-94.0;380.0
Курская область;380;Женщины;Городская местность;40.0;444.0;637.0;662.0;-473.0;-894.0;503.0
Липецкая область;420;Женщины;Городская местность;-61.0;-7.0;12.0;-181.0;-841.0;-1424.0;-1570.0
Московская область;460;Женщины;Городская местность;26733.0;35655.0;26573.0;9219.0;22785.0;15305.0;15323.0
Орловская область;540;Женщины;Городская местность;-749.0;-947.0;-733.0;-984.0;-1050.0;-1192.0;-1020.0
Рязанская область;610;Женщины;Городская местность;715.0;990.0;-85.0;261.0;-98.0;-428.0;-380.0
Смоленская область;660;Женщины;Городская местность;-1536.0;-1546.0;-1204.0;-637.0;-1031.0;-1064.0;-678.0
Тамбовская область;680;Женщины;Городская местность;-38.0;-193.0;168.0;336.0;-154.0;-344.0;-234.0
Тверская область;280;Женщины;Городская местность;-1679.0;-1434.0;-1165.0;-55.0;-856.0;-1011.0;-981.0
Тульская область;700;Женщины;Городская местность;-1434.0;-2001.0;-903.0;-400.0;-593.0;-1127.0;-185.0
Ярославская область;780;Женщины;Городская местность;670.0;1394.0;-38.0;-874.0;-723.0;-834.0;-423.0
Город Москва столица Российской Федерации город федерального значения;450;Женщины;Городская местность;52737.0;44442.0;25019.0;8690.0;1930.0;50289.0;26499.0
Северо-Западный федеральный округ;31;Женщины;Городская местность;20392.0;12456.0;15050.0;15299.0;18075.0;11858.0;15764.0
Республика Карелия;860;Женщины;Городская местность;-401.0;244.0;209.0;390.0;759.0;740.0;367.0
Республика Коми;870;Женщины;Городская местность;-3461.0;-3527.0;-3952.0;-2032.0;-2281.0;-1916.0;-290.0
Архангельская область;110;Женщины;Городская местность;-2404.0;-1426.0;-661.0;50.0;-6.0;-150.0;469.0
Ненецкий автономный округ (Архангельская область);111;Женщины;Городская местность;-42.0;15.0;51.0;145.0;10.0;35.0;453.0
Архангельская область (кроме Ненецкого автономного округа);110;Женщины;Городская местность;-2362.0;-1441.0;-712.0;-95.0;-16.0;-185.0;16.0
Вологодская область;190;Женщины;Городская местность;-807.0;-819.0;-1457.0;-868.0;-473.0;-1192.0;-374.0
Вологда;194;Женщины;Городская местность;-466.0;-350.0;-350.0;-350.0;-350.0;-350.0;-350.0
