Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
Центральный федеральный округ;30;1;1;1;1;1;1;1;1
Белгородская область;140;1;1;1;1;1;0;0;0
Брянская область;150;0;0;0;0;0;0;0;0
Владимирская область;170;0;0;0;0;0;0;0;0
Воронежская область;200;1;1;1;1;1;1;1;0
Ивановская область;240;0;0;0;0;0;0;0;0
Калужская область;290;0;0;0;0;0;0;0;0
Костромская область;340;0;0;0;0;0;0;0;0
Курская область;380;0;0;0;0;0;0;0;0
Липецкая область;420;0;0;0;0;0;0;0;0
Московская область;460;1;1;1;1;1;1;1;1
Орловская область;540;0;0;0;0;0;0;0;0
Рязанская область;610;0;1;1;0;0;0;0;0
Смоленская область;660;0;0;0;0;0;0;0;0
Тамбовская область;680;0;0;0;0;0;0;0;0
Тверская область;280;0;0;0;0;0;0;0;0
Тульская область;700;0;0;0;0;0;0;0;0
Ярославская область;780;1;1;1;1;1;1;1;1
Город Москва столица Российской Федерации город федерального значения;450;1;1;1;1;1;1;1;1
Северо-Западный федеральный округ;31;1;1;1;1;1;1;1;1
Республика Карелия;860;0;0;0;0;0;0;0;0
Республика Коми;870;0;0;0;0;0;0;0;0
Архангельская область;110;0;0;0;0;0;0;0;0
Ненецкий автономный округ (Архангельская область);111;0;1;0;0;0;0;0;0
Архангельская область (кроме Ненецкого автономного округа);110;0;0;0;0;0;0;0;0
Вологодская область;190;0;0;0;0;0;0;0;0
Калининградская область;270;1;1;1;1;1;1;1;1
Ленинградская область;410;1;1;1;1;1;1;1;1
Мурманская область;470;0;0;0;0;0;0;0;0
Новгородская область;490;0;0;0;0;0;0;0;0
Псковская область;580;0;0;0;0;0;0;0;0
Город Санкт-Петербург город федерального значения;400;1;1;1;1;1;1;1;1
Южный федеральный округ (по 2009 год);32;1;1;1;1;1;1;1;1
Южный федеральный округ (с 2010 года);37;1;1;1;1;1;1;1;1
Южный федеральный округ (с 29.07.2016);40;1;1;1;1;1;1;1;1
Республика Адыгея (Адыгея);790;1;1;1;1;1;1;1;1
Республика Калмыкия;850;0;0;0;0;0;0;0;0
Республика Крым;350;1;1;1;1;0;0;1;1
Краснодарский край;300;1;1;1;1;1;1;1;1
Астраханская область;120;0;0;0;0;0;0;0;0
Волгоградская область;180;0;0;0;0;0;0;0;0
Ростовская область;600;0;0;0;0;0;0;0;0
Город федерального значения Севастополь;670;1;1;1;1;1;1;1;1
Северо-Кавказский федеральный округ;38;0;0;0;0;0;0;0;0
Республика Дагестан;820;0;0;0;0;0;0;0;0
Республика Ингушетия;260;1;1;1;1;1;1;1;1
Кабардино-Балкарская Республика;830;0;0;0;0;0;0;0;0
Карачаево-Черкесская Республика;910;0;0;0;0;0;0;0;0
Республика Северная Осетия-Алания;900;0;0;0;0;0;0;0;0
Чеченская Республика;960;0;0;0;0;0;0;0;0
Ставропольский край;700;1;0;0;0;0;0;0;0
Приволжский федеральный округ;33;0;0;0;0;0;0;0;0
Республика Башкортостан;800;0;0;0;0;0;0;0;0
Республика Марий Эл;880;0;0;0;0;0;0;0;0
Республика Мордовия;890;0;0;0;0;0;0;0;0
Республика Татарстан (Татарстан);920;1;1;1;1;1;1;1;1
Удмуртская Республика;940;0;0;0;0;0;0;0;0
Чувашская Республика - Чувашия;970;0;0;0;0;0;0;0;0
Пермский край;570;0;0;0;0;0;0;0;0
Кировская область;330;0;0;0;0;0;0;0;0
Нижегородская область;220;0;1;1;0;0;0;0;0
Оренбургская область;530;0;0;0;0;0;0;0;0
Пензенская область;560;0;0;0;0;0;0;0;0
Самарская область;360;1;1;0;0;0;0;0;0
Саратовская область;630;0;0;0;0;0;0;0;0
Ульяновская область;730;0;0;0;0;0;0;0;0
Уральский федеральный округ;34;0;1;0;0;0;0;0;0
Курганская область;370;0;0;0;0;0;0;0;0
Свердловская область;650;1;1;1;1;1;0;0;0
Тюменская область;710;0;1;1;0;0;0;1;0
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;0;1;0;0;0;0;0;0
Ямало-Ненецкий автономный округ (Тюменская область);711;0;0;0;0;0;0;0;0
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;1;1;1;1;1;1;1;1
Челябинская область;750;0;1;0;1;1;0;0;0
Сибирский федеральный округ;35;0;0;0;0;0;0;0;0
Республика Алтай;840;0;0;0;0;0;0;0;0
Республика Тыва;930;0;0;0;0;0;0;0;0
Республика Хакасия;950;0;0;0;0;0;0;1;1
Алтайский край;100;0;0;0;0;0;0;0;0
Красноярский край;400;0;1;0;0;0;0;0;0
Иркутская область;250;0;0;0;0;0;0;0;0
Кемеровская область - Кузбасс;320;0;0;0;0;0;0;0;0
Новосибирская область;500;1;1;1;1;1;1;1;1
Омская область;520;0;0;0;0;0;0;0;0
Томская область;690;1;1;1;1;1;0;0;0
Дальневосточный федеральный округ;36;0;0;0;0;0;0;0;0
Республика Бурятия;810;0;0;0;0;0;0;0;0
Забайкальский край;760;0;0;0;0;0;0;0;0
Республика Саха (Якутия);980;0;0;0;0;0;0;0;0
Камчатский край;300;0;0;0;0;0;0;0;0
Приморский край;500;0;0;0;0;0;0;0;0
Хабаровский край;800;0;0;0;0;0;0;0;0
Амурская область;100;0;0;0;0;0;0;0;0
Магаданская область;440;0;0;0;0;0;0;0;0
Сахалинская область;640;0;0;0;0;0;0;0;0
Еврейская автономная область;990;0;0;0;0;0;0;0;0
Чукотский автономный округ;770;0;1;0;0;0;0;0;0
Крымский федеральный округ;39;1;1;1;1;1;1;1;1
