Регион;Код;% привлекательности;Категория;Линейный тренд;Недавний тренд;Вектор тренда
Центральный федеральный округ;30;13786.9;Магниты;-102.58999999999999;29.320000000000007;
Белгородская область;140;4652.5;Магниты;-146.08;-15.619999999999997;
Брянская область;150;-11611.0;Доноры;13.52000000000001;-63.17999999999999;
Владимирская область;170;-10235.0;Доноры;-11.570000000000007;-71.73;
Воронежская область;200;4177.8;Магниты;-79.35000000000001;-47.6;
Ивановская область;240;-7706.4;Доноры;-31.869999999999997;-14.009999999999991;
Калужская область;290;-11698.9;Доноры;145.84;-40.800000000000004;
Костромская область;340;-9582.0;Доноры;93.1;-37.91;
Курская область;380;-6163.1;Доноры;-20.53;-34.82000000000001;
Липецкая область;420;-12557.1;Доноры;48.25999999999999;-33.72;
Московская область;460;31154.1;Магниты;-160.90999999999997;-53.539999999999964;
Орловская область;540;-12682.2;Доноры;-8.080000000000013;-54.85000000000001;
Рязанская область;610;-2497.6;Доноры;94.76000000000002;-31.23;
Смоленская область;660;-15412.5;Доноры;151.35000000000002;-54.17;
Тамбовская область;680;-17673.5;Доноры;1.9800000000000182;-49.19999999999999;
Тверская область;280;-16704.8;Доноры;115.78000000000003;-70.12999999999998;
Тульская область;700;-11496.0;Доноры;42.599999999999994;-41.94;
Ярославская область;780;7040.6;Магниты;-8.590000000000002;-16.740000000000002;
Город Москва столица Российской Федерации город федерального значения;450;39514.4;Магниты;-339.66;232.64;
Северо-Западный федеральный округ;31;7387.9;Магниты;36.69;7.3799999999999955;
Республика Карелия;860;-10008.4;Доноры;117.64999999999999;-14.489999999999995;
Республика Коми;870;-38380.4;Доноры;364.52000000000004;-49.870000000000005;
Архангельская область;110;-33608.1;Доноры;651.04;-16.920000000000016;
Ненецкий автономный округ (Архангельская область);111;-9504.0;Доноры;124.65;70.25;
Архангельская область (кроме Ненецкого автономного округа);110;-25065.4;Доноры;32.94;-21.77000000000001;
Вологодская область;190;-6644.4;Доноры;-71.31;-38.53;
Калининградская область;270;10423.1;Магниты;76.41;18.900000000000006;
Ленинградская область;410;24192.8;Магниты;54.51999999999998;36.599999999999994;
Мурманская область;470;-28083.1;Доноры;479.71000000000004;26.77000000000001;
Новгородская область;490;-6497.8;Доноры;55.27000000000001;-27.240000000000002;
Псковская область;580;-8345.4;Доноры;269.14000000000004;-7.410000000000004;
Город Санкт-Петербург город федерального значения;400;30746.2;Магниты;-320.62;-3.460000000000008;
Южный федеральный округ (по 2009 год);32;9207.2;Магниты;-8.86;0.0;
Южный федеральный округ (с 2010 года);37;7156.5;Магниты;-33.37;0.0;
Южный федеральный округ (с 29.07.2016);40;7053.5;Магниты;-29.14;-43.09;
Республика Адыгея (Адыгея);790;6760.1;Магниты;-14.5;-58.790000000000006;
Республика Калмыкия;850;-26789.6;Доноры;116.76999999999998;-82.32000000000001;
Республика Крым;350;-49.0;Доноры;33.15;-2.719999999999999;
Краснодарский край;300;23640.1;Магниты;-103.14999999999998;-54.25999999999999;
Астраханская область;120;-16059.6;Доноры;-32.56;-2.6299999999999955;
Волгоградская область;180;-23871.5;Доноры;69.31;-23.03;
Ростовская область;600;-3605.7;Доноры;-2.4400000000000013;-8.790000000000003;
Город федерального значения Севастополь;670;49679.8;Магниты;-136.32999999999998;-86.22000000000003;
Северо-Кавказский федеральный округ;38;-20980.4;Доноры;93.88999999999999;-29.680000000000007;
Республика Дагестан;820;-41243.4;Доноры;6.2099999999999795;-27.94999999999999;
Республика Ингушетия;260;25231.4;Магниты;-89.47;-3.1899999999999977;
Кабардино-Балкарская Республика;830;-47214.0;Доноры;261.33;4.699999999999989;
Карачаево-Черкесская Республика;910;-31458.0;Доноры;224.21000000000004;124.00000000000001;
Республика Северная Осетия-Алания;900;-50821.6;Доноры;330.6700000000001;-82.58999999999997;
Чеченская Республика;960;-17720.4;Доноры;-156.68;-61.04999999999998;
Ставропольский край;700;-4855.8;Доноры;-91.8;-37.589999999999996;
Приволжский федеральный округ;33;-8221.9;Доноры;20.840000000000003;-22.589999999999996;
Республика Башкортостан;800;-6981.0;Доноры;-16.43;-11.11;
Республика Марий Эл;880;-14406.5;Доноры;96.33999999999999;-14.260000000000005;
Республика Мордовия;890;-25234.1;Доноры;53.41999999999999;-63.00999999999999;
Республика Татарстан (Татарстан);920;3472.1;Магниты;-42.64;-26.37;
Удмуртская Республика;940;-13262.4;Доноры;232.82999999999998;-10.829999999999998;
Чувашская Республика - Чувашия;970;-11470.8;Доноры;-19.650000000000006;-49.64;
Пермский край;570;-7738.9;Доноры;100.17000000000002;-14.559999999999995;
Кировская область;330;-12790.2;Доноры;195.67000000000002;1.009999999999998;
Нижегородская область;220;-302.5;Доноры;-8.46;-10.790000000000003;
Оренбургская область;530;-23983.0;Доноры;135.69;-66.94;
Пензенская область;560;-14010.3;Доноры;67.06000000000002;-20.849999999999994;
Самарская область;360;-2597.0;Доноры;-92.15;-28.82;
Саратовская область;630;-9839.4;Доноры;-37.66;-40.91;
Ульяновская область;730;-22516.2;Доноры;316.4;6.949999999999989;
Уральский федеральный округ;34;-3367.8;Доноры;-7.6299999999999955;-12.18;
Курганская область;370;-31530.0;Доноры;228.38000000000002;2.5200000000000102;
Свердловская область;650;432.6;Магниты;-54.3;20.05;
Тюменская область;710;-2053.8;Доноры;23.330000000000002;-22.96;
Ханты-Мансийский автономный округ - Югра (Тюменская область);711;-7830.2;Доноры;-93.83;-74.28;
Ямало-Ненецкий автономный округ (Тюменская область);711;-24326.1;Доноры;385.64;7.47999999999999;
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);710;18133.9;Магниты;17.909999999999997;4.6200000000000045;
Челябинская область;750;-2149.5;Доноры;-59.13;-37.2;
Сибирский федеральный округ;35;-8464.2;Доноры;-11.070000000000007;-8.040000000000006;
Республика Алтай;840;-3603.6;Доноры;-15.4;-14.530000000000001;
Республика Тыва;930;-25866.8;Доноры;147.31;53.97;
Республика Хакасия;950;-3743.3;Доноры;69.17999999999999;9.67;
