Регион;Код;% привлекательности;Категория
Белгород;144;22.2;Доноры
Старый Оскол;144;33.3;Нестабильные
Брянск;154;33.3;Нестабильные
Владимир;174;44.4;Нестабильные
Ковров;174;22.2;Доноры
Муром;174;11.1;Доноры
Воронеж;204;88.9;Магниты
Иваново;244;66.7;Нестабильные
Калуга;294;22.2;Доноры
Обнинск;294;77.8;Магниты
Кострома;344;77.8;Магниты
Курск;384;77.8;Магниты
Железногорск;384;66.7;Нестабильные
Магнитогорск;754;55.6;Нестабильные
Липецк;424;0.0;Доноры
Елец;424;11.1;Доноры
Люберцы;462;88.9;Магниты
Раменское;462;77.8;Магниты
Орехово-Зуево;464;44.4;Нестабильные
Подольск;464;77.8;Магниты
Серпухов;464;66.7;Нестабильные
Электросталь;464;33.3;Нестабильные
Орел;572;11.1;Доноры
Рязань;614;77.8;Магниты
Смоленск;664;22.2;Доноры
Тамбов;684;66.7;Нестабильные
Тверь;284;100.0;Магниты
Тула;704;22.2;Доноры
Ярославль;784;55.6;Нестабильные
Рыбинск;784;0.0;Доноры
Город Москва столица Российской Федерации город федерального значения;450;100.0;Магниты
Петрозаводск;864;100.0;Магниты
Сыктывкар;874;55.6;Нестабильные
Ухта;874;0.0;Доноры
Архангельск;114;0.0;Доноры
Северодвинск;114;44.4;Нестабильные
Нарьян-Мар;111;66.7;Нестабильные
Вологда;194;22.2;Доноры
Череповец;194;0.0;Доноры
Калининград;274;100.0;Магниты
Мурманск;474;11.1;Доноры
Великий Новгород;494;88.9;Магниты
Псков;584;66.7;Нестабильные
Великие Луки;584;0.0;Доноры
Город Санкт-Петербург город федерального значения;400;100.0;Магниты
Майкоп;794;0.0;Доноры
Элиста;854;44.4;Нестабильные
Симферополь;354;55.6;Нестабильные
Евпатория;354;88.9;Магниты
Керчь;354;88.9;Магниты
Краснодар;340;100.0;Магниты
Армавир;340;22.2;Доноры
Новороссийск;342;88.9;Магниты
Сочи;342;77.8;Магниты
Астрахань;124;0.0;Доноры
Волгоград;184;55.6;Нестабильные
Камышин;184;33.3;Нестабильные
Ростов-на-Дону;604;100.0;Магниты
Волгодонск;604;22.2;Доноры
Новочеркасск;604;22.2;Доноры
Таганрог;604;66.7;Нестабильные
Шахты;604;11.1;Доноры
Город федерального значения Севастополь;670;100.0;Магниты
Махачкала;824;0.0;Доноры
Дербент;824;55.6;Нестабильные
Хасавюрт;824;33.3;Нестабильные
Магас;264;100.0;Магниты
Назрань;264;88.9;Магниты
Нальчик;834;0.0;Доноры
Черкесск;914;33.3;Нестабильные
Владикавказ;904;0.0;Доноры
Грозный;964;0.0;Доноры
Ставрополь;740;88.9;Магниты
Невинномысск;742;11.1;Доноры
Пятигорск;742;11.1;Доноры
Уфа;804;77.8;Магниты
Нефтекамск;804;88.9;Магниты
Стерлитамак;804;33.3;Нестабильные
Йошкар-Ола;884;100.0;Магниты
Саранск;894;66.7;Нестабильные
Казань;924;88.9;Магниты
Набережные Челны;924;0.0;Доноры
Ижевск;944;77.8;Магниты
Чебоксары;974;77.8;Магниты
Пермь;574;66.7;Нестабильные
Березники;574;0.0;Доноры
Киров;334;100.0;Магниты
Нижний Новгород;224;33.3;Нестабильные
Арзамас;224;33.3;Нестабильные
Дзержинск;224;77.8;Магниты
Оренбург;534;22.2;Доноры
Орск;534;11.1;Доноры
Пенза;564;44.4;Нестабильные
Самара;364;11.1;Доноры
Сызрань;364;0.0;Доноры
Тольятти;364;0.0;Доноры
Саратов;634;44.4;Нестабильные
Балаково;634;55.6;Нестабильные
Ульяновск;734;66.7;Нестабильные
Димитровград;734;0.0;Доноры
Курган;374;0.0;Доноры
Екатеринбург;654;55.6;Нестабильные
Каменск-Уральский;654;44.4;Нестабильные
Нижний Тагил;654;0.0;Доноры
Первоуральск;654;0.0;Доноры
Тюмень;714;100.0;Магниты
Ханты-Мансийск;711;66.7;Нестабильные
Сургут;711;88.9;Магниты
Нижневартовск;711;0.0;Доноры
Салехард;711;55.6;Нестабильные
Новый Уренгой;711;22.2;Доноры
Ноябрьск;711;22.2;Доноры
Челябинск;754;33.3;Нестабильные
Миасс;754;88.9;Магниты
Горно-Алтайск;844;22.2;Доноры
Улан-Удэ;814;33.3;Нестабильные
Кызыл;934;33.3;Нестабильные
Абакан;954;100.0;Магниты
Барнаул;140;33.3;Нестабильные
Бийск;140;55.6;Нестабильные
Рубцовск;141;11.1;Доноры
Чита;764;66.7;Нестабильные
Красноярск;440;77.8;Магниты
Ачинск;440;66.7;Нестабильные
Норильск;442;11.1;Доноры
Иркутск;254;0.0;Доноры
Ангарск;254;33.3;Нестабильные
Братск;254;22.2;Доноры
Кемерово;324;33.3;Нестабильные
Новокузнецк;324;0.0;Доноры
Прокопьевск;324;0.0;Доноры
Новосибирск;504;55.6;Нестабильные
Бердск;504;77.8;Магниты
Омск;524;0.0;Доноры
Томск;694;33.3;Нестабильные
Якутск;984;88.9;Магниты
Петропавловск-Камчатский;304;11.1;Доноры
Владивосток;540;55.6;Нестабильные
