Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Белгород;144;0;1;0;0;0;0;1;0;0
Старый Оскол;144;0;1;0;0;0;1;1;0;0
Брянск;154;0;1;0;1;0;0;1;0;0
Владимир;174;1;1;1;1;0;0;0;0;0
Ковров;174;0;1;0;0;1;0;0;0;0
Муром;174;0;1;0;0;0;0;0;0;0
Воронеж;204;1;1;1;1;1;1;1;1;0
Иваново;244;0;0;1;1;1;0;1;1;1
Калуга;294;0;0;0;0;0;1;1;0;0
Обнинск;294;1;1;1;1;0;0;1;1;1
Кострома;344;1;1;0;0;1;1;1;1;1
Курск;384;1;1;1;1;1;1;0;0;1
Железногорск;384;1;1;1;1;1;1;0;0;0
Магнитогорск;754;0;0;0;0;1;1;1;1;1
Липецк;424;0;0;0;0;0;0;0;0;0
Елец;424;0;0;0;0;0;1;0;0;0
Люберцы;462;1;1;1;1;1;1;0;1;1
Раменское;462;1;1;1;1;1;1;1;0;0
Орехово-Зуево;464;1;1;0;0;1;0;1;0;0
Подольск;464;1;1;1;1;1;1;1;0;0
Серпухов;464;0;0;1;0;1;1;1;1;1
Электросталь;464;1;1;1;0;0;0;0;0;0
Орел;572;1;0;0;0;0;0;0;0;0
Рязань;614;1;1;1;1;1;1;1;0;0
Смоленск;664;0;1;0;0;0;0;0;0;1
Тамбов;684;1;1;1;1;1;1;0;0;0
Тверь;284;1;1;1;1;1;1;1;1;1
Тула;704;0;1;0;0;1;0;0;0;0
Ярославль;784;1;1;1;1;1;0;0;0;0
Рыбинск;784;0;0;0;0;0;0;0;0;0
Город Москва столица Российской Федерации город федерального значения;450;1;1;1;1;1;1;1;1;1
Петрозаводск;864;1;1;1;1;1;1;1;1;1
Сыктывкар;874;1;1;0;0;0;0;1;1;1
Ухта;874;0;0;0;0;0;0;0;0;0
Архангельск;114;0;0;0;0;0;0;0;0;0
Северодвинск;114;0;0;0;0;1;0;1;1;1
Нарьян-Мар;111;1;0;0;0;1;1;1;1;1
Вологда;194;1;0;0;0;0;0;0;0;1
Череповец;194;0;0;0;0;0;0;0;0;0
Калининград;274;1;1;1;1;1;1;1;1;1
Мурманск;474;0;0;0;0;0;0;0;0;1
Великий Новгород;494;0;1;1;1;1;1;1;1;1
Псков;584;0;1;1;1;1;1;1;0;0
Великие Луки;584;0;0;0;0;0;0;0;0;0
Город Санкт-Петербург город федерального значения;400;1;1;1;1;1;1;1;1;1
Майкоп;794;0;0;0;0;0;0;0;0;0
Элиста;854;0;0;0;0;1;1;1;0;1
Симферополь;354;1;1;1;0;1;0;0;0;1
Евпатория;354;0;1;1;1;1;1;1;1;1
Керчь;354;1;1;1;1;1;1;1;0;1
Краснодар;340;1;1;1;1;1;1;1;1;1
Армавир;340;0;0;0;0;0;0;1;0;1
Новороссийск;342;1;1;1;1;0;1;1;1;1
Сочи;342;1;1;1;1;1;1;1;0;0
Астрахань;124;0;0;0;0;0;0;0;0;0
Волгоград;184;0;1;0;1;0;1;1;1;0
Камышин;184;0;0;0;1;1;0;0;0;1
Ростов-на-Дону;604;1;1;1;1;1;1;1;1;1
Волгодонск;604;0;1;0;1;0;0;0;0;0
Новочеркасск;604;0;0;0;0;1;0;0;0;1
Таганрог;604;0;1;1;1;1;1;0;0;1
Шахты;604;1;0;0;0;0;0;0;0;0
Город федерального значения Севастополь;670;1;1;1;1;1;1;1;1;1
Махачкала;824;0;0;0;0;0;0;0;0;0
Дербент;824;0;0;0;1;1;0;1;1;1
Хасавюрт;824;0;0;0;0;1;0;0;1;1
Магас;264;1;1;1;1;1;1;1;1;1
Назрань;264;1;1;1;1;1;1;0;1;1
Нальчик;834;0;0;0;0;0;0;0;0;0
Черкесск;914;0;0;0;1;1;1;0;0;0
Владикавказ;904;0;0;0;0;0;0;0;0;0
Грозный;964;0;0;0;0;0;0;0;0;0
Ставрополь;740;1;1;0;1;1;1;1;1;1
Невинномысск;742;0;0;1;0;0;0;0;0;0
Пятигорск;742;0;0;0;0;0;0;0;1;0
Уфа;804;0;0;1;1;1;1;1;1;1
Нефтекамск;804;0;1;1;1;1;1;1;1;1
Стерлитамак;804;0;0;0;0;0;0;1;1;1
Йошкар-Ола;884;1;1;1;1;1;1;1;1;1
Саранск;894;1;1;0;1;1;1;1;0;0
Казань;924;1;1;1;1;1;1;1;1;0
Набережные Челны;924;0;0;0;0;0;0;0;0;0
Ижевск;944;0;1;1;1;0;1;1;1;1
Чебоксары;974;1;1;1;1;1;0;1;0;1
Пермь;574;1;1;1;1;1;0;0;0;1
Березники;574;0;0;0;0;0;0;0;0;0
Киров;334;1;1;1;1;1;1;1;1;1
Нижний Новгород;224;0;0;0;0;1;1;1;0;0
Арзамас;224;0;0;0;0;1;1;0;0;1
Дзержинск;224;0;0;1;1;1;1;1;1;1
Оренбург;534;0;0;0;0;1;1;0;0;0
Орск;534;0;0;0;0;0;0;0;0;1
Пенза;564;1;0;1;1;1;0;0;0;0
Самара;364;0;0;0;0;0;0;0;1;0
Сызрань;364;0;0;0;0;0;0;0;0;0
Тольятти;364;0;0;0;0;0;0;0;0;0
Саратов;634;0;1;1;1;0;0;0;1;0
Балаково;634;0;0;0;0;1;1;1;1;1
Ульяновск;734;1;1;1;1;0;1;1;0;0
Димитровград;734;0;0;0;0;0;0;0;0;0
Курган;374;0;0;0;0;0;0;0;0;0
Екатеринбург;654;1;1;1;1;0;1;0;0;0
Каменск-Уральский;654;0;1;0;0;0;0;1;1;1
Нижний Тагил;654;0;0;0;0;0;0;0;0;0
Первоуральск;654;0;0;0;0;0;0;0;0;0
Тюмень;714;1;1;1;1;1;1;1;1;1
Ханты-Мансийск;711;1;1;0;1;1;0;1;0;1
Сургут;711;1;1;0;1;1;1;1;1;1
Нижневартовск;711;0;0;0;0;0;0;0;0;0
Салехард;711;0;0;1;1;1;0;1;0;1
Новый Уренгой;711;0;1;0;1;0;0;0;0;0
Ноябрьск;711;0;0;0;0;0;1;0;0;1
Челябинск;754;1;1;1;0;0;0;0;0;0
Миасс;754;0;1;1;1;1;1;1;1;1
Горно-Алтайск;844;0;0;0;1;1;0;0;0;0
Улан-Удэ;814;1;0;1;0;1;0;0;0;0
Кызыл;934;0;0;0;0;0;0;1;1;1
Абакан;954;1;1;1;1;1;1;1;1;1
Барнаул;140;0;0;0;1;1;1;0;0;0
Бийск;140;0;0;0;0;1;1;1;1;1
Рубцовск;141;1;0;0;0;0;0;0;0;0
Чита;764;1;1;1;1;1;0;1;0;0
Красноярск;440;1;1;1;1;0;0;1;1;1
Ачинск;440;0;0;1;1;1;1;1;0;1
Норильск;442;0;0;0;0;0;0;0;0;1
Иркутск;254;0;0;0;0;0;0;0;0;0
Ангарск;254;0;0;0;1;1;0;0;0;1
Братск;254;0;0;0;0;0;1;0;0;1
Кемерово;324;1;1;1;0;0;0;0;0;0
Новокузнецк;324;0;0;0;0;0;0;0;0;0
Прокопьевск;324;0;0;0;0;0;0;0;0;0
Новосибирск;504;1;1;1;1;1;0;0;0;0
Бердск;504;0;1;1;1;1;0;1;1;1
Омск;524;0;0;0;0;0;0;0;0;0
Томск;694;1;1;1;0;0;0;0;0;0
Якутск;984;1;1;1;1;1;0;1;1;1
Петропавловск-Камчатский;304;0;0;0;0;0;0;0;0;1
Владивосток;540;0;1;1;1;1;0;1;0;0
