Регион;Код;% привлекательности;Категория;Линейный тренд;Недавний тренд;Вектор тренда
Центральный федеральный округ;30;100.0;Магниты;-102.59;29.32;📈 Сильный рост
Белгородская область;140;62.5;Нестабильные;-146.08;-15.62;📉 Сильный спад
Брянская область;150;0.0;Доноры;13.52;-63.18;📉 Сильный спад
Владимирская область;170;0.0;Доноры;-11.57;-71.73;📉 Сильный спад
Воронежская область;200;87.5;Магниты;-79.35;-47.6;📉 Сильный спад
Ивановская область;240;0.0;Доноры;-31.87;-14.01;📉 Сильный спад
Калужская область;290;0.0;Доноры;145.84;-40.8;📉 Сильный спад
Костромская область;340;0.0;Доноры;93.1;-37.91;📉 Сильный спад
Курская область;380;0.0;Доноры;-20.53;-34.82;📉 Сильный спад
Липецкая область;420;0.0;Доноры;48.26;-33.72;📉 Сильный спад
Московская область;460;100.0;Магниты;-160.91;-53.54;📉 Сильный спад
Орловская область;540;0.0;Доноры;-8.08;-54.85;📉 Сильный спад
Рязанская область;610;25.0;Доноры;94.76;-31.23;📉 Сильный спад
Смоленская область;660;0.0;Доноры;151.35;-54.17;📉 Сильный спад
Тамбовская область;680;0.0;Доноры;1.98;-49.2;📉 Сильный спад
Тверская область;280;0.0;Доноры;115.78;-70.13;📉 Сильный спад
Тульская область;700;0.0;Доноры;42.6;-41.94;📉 Сильный спад
Ярославская область;780;100.0;Магниты;-8.59;-16.74;📉 Сильный спад
Город Москва столица Российской Федерации город федерального значения;450;100.0;Магниты;-339.66;232.64;📈 Сильный рост
Северо-Западный федеральный округ;31;100.0;Магниты;36.69;7.38;📈 Сильный рост
Республика Карелия;860;0.0;Доноры;117.65;-14.49;📉 Сильный спад
Республика Коми;870;0.0;Доноры;364.52;-49.87;📉 Сильный спад
Архангельская область;110;0.0;Доноры;651.04;-16.92;📉 Сильный спад
Ненецкий автономный округ (Архангельская область);111;12.5;Доноры;124.65;70.25;📈 Сильный рост
Архангельская область (кроме Ненецкого автономного округа);110;0.0;Доноры;32.94;-21.77;📉 Сильный спад
Вологодская область;190;0.0;Доноры;-71.31;-38.53;📉 Сильный спад
Калининградская область;270;100.0;Магниты;76.41;18.9;📈 Сильный рост
Ленинградская область;410;100.0;Магниты;54.52;36.6;📈 Сильный рост
Мурманская область;470;0.0;Доноры;479.71;26.77;📈 Сильный рост
Новгородская область;490;0.0;Доноры;55.27;-27.24;📉 Сильный спад
Псковская область;580;0.0;Доноры;269.14;-7.41;📉 Сильный спад
Город Санкт-Петербург город федерального значения;400;100.0;Магниты;-320.62;-3.46;📉 Сильный спад
Южный федеральный округ (по 2009 год);32;100.0;Магниты;-8.86;0.0;➡️ Стабильно
Южный федеральный округ (с 2010 года);37;100.0;Магниты;-33.37;0.0;➡️ Стабильно
Южный федеральный округ (с 29.07.2016);40;100.0;Магниты;-29.14;-43.09;📉 Сильный спад
Республика Адыгея (Адыгея);790;100.0;Магниты;-14.5;-58.79;📉 Сильный спад
Республика Калмыкия;850;0.0;Доноры;116.77;-82.32;📉 Сильный спад
Республика Крым;350;75.0;Магниты;33.15;-2.72;📉 Сильный спад
Краснодарский край;300;100.0;Магниты;-103.15;-54.26;📉 Сильный спад
Астраханская область;120;0.0;Доноры;-32.56;-2.63;📉 Сильный спад
Волгоградская область;180;0.0;Доноры;69.31;-23.03;📉 Сильный спад
Ростовская область;600;0.0;Доноры;-2.44;-8.79;📉 Сильный спад
Город федерального значения Севастополь;670;100.0;Магниты;-136.33;-86.22;📉 Сильный спад
Северо-Кавказский федеральный округ;38;0.0;Доноры;93.89;-29.68;📉 Сильный спад
Республика Дагестан;820;0.0;Доноры;6.21;-27.95;📉 Сильный спад
