Регион;Код;% привлекательности;Категория;Линейный тренд;Недавний тренд;Вектор тренда
Белгород;144;22.2;Доноры;-169.09;212.98;📈 Сильный рост
Старый Оскол;144;33.3;Нестабильные;-4.59;288.92;📈 Сильный рост
Брянск;154;33.3;Нестабильные;96.84;11.82;📈 Сильный рост
Владимир;174;44.4;Нестабильные;-435.58;0.74;↗️ Улучшение
Ковров;174;22.2;Доноры;1.77;189.48;📈 Сильный рост
Муром;174;11.1;Доноры;-69.96;-143.66;📉 Сильный спад
Воронеж;204;88.9;Магниты;-286.69;-79.56;📉 Сильный спад
Иваново;244;66.7;Нестабильные;131.66;-43.6;📉 Сильный спад
Калуга;294;22.2;Доноры;-212.8;-331.25;📉 Сильный спад
Обнинск;294;77.8;Магниты;141.92;-14.53;📉 Сильный спад
Кострома;344;77.8;Магниты;144.17;164.11;📈 Сильный рост
Курск;384;77.8;Магниты;13.08;293.53;📈 Сильный рост
Железногорск;384;66.7;Нестабильные;-84.3;38.87;📈 Сильный рост
Магнитогорск;754;55.6;Нестабильные;100.38;-53.6;📉 Сильный спад
Липецк;424;0.0;Доноры;-222.94;-251.94;📉 Сильный спад
Елец;424;11.1;Доноры;-1162.9;-127.42;📉 Сильный спад
Люберцы;462;88.9;Магниты;214.24;48.86;📈 Сильный рост
Раменское;462;77.8;Магниты;-503.76;24.26;📈 Сильный рост
Орехово-Зуево;464;44.4;Нестабильные;-294.6;-135.22;📉 Сильный спад
Подольск;464;77.8;Магниты;-111.34;265.87;📈 Сильный рост
Серпухов;464;66.7;Нестабильные;390.81;15.8;📈 Сильный рост
Электросталь;464;33.3;Нестабильные;-413.39;1112.35;📈 Сильный рост
Орел;572;11.1;Доноры;-672.35;254.7;📈 Сильный рост
Рязань;614;77.8;Магниты;-253.01;33.13;📈 Сильный рост
Смоленск;664;22.2;Доноры;222.33;64.36;📈 Сильный рост
Тамбов;684;66.7;Нестабильные;-390.26;-23.49;📉 Сильный спад
Тверь;284;100.0;Магниты;-89.53;-11.12;📉 Сильный спад
Тула;704;22.2;Доноры;-218.59;-193.09;📉 Сильный спад
Ярославль;784;55.6;Нестабильные;-221.1;43.72;📈 Сильный рост
Рыбинск;784;0.0;Доноры;195.73;44.5;📈 Сильный рост
Город Москва столица Российской Федерации город федерального значения;450;100.0;Магниты;-239.24;-154.01;📉 Сильный спад
Петрозаводск;864;100.0;Магниты;39.9;-78.65;📉 Сильный спад
Сыктывкар;874;55.6;Нестабильные;6.35;13.07;📈 Сильный рост
Ухта;874;0.0;Доноры;-63.46;0.0;➡️ Стабильно
Архангельск;114;0.0;Доноры;-11.45;52.72;📈 Сильный рост
Северодвинск;114;44.4;Нестабильные;509.09;42.24;📈 Сильный рост
Нарьян-Мар;111;66.7;Нестабильные;205.13;340.79;📈 Сильный рост
Вологда;194;22.2;Доноры;93.88;433.09;📈 Сильный рост
Череповец;194;0.0;Доноры;-210.99;79.31;📈 Сильный рост
Калининград;274;100.0;Магниты;-107.83;68.87;📈 Сильный рост
Мурманск;474;11.1;Доноры;638.27;152.7;📈 Сильный рост
Великий Новгород;494;88.9;Магниты;73.83;-15.07;📉 Сильный спад
Псков;584;66.7;Нестабильные;-318.0;-2.69;📉 Сильный спад
Великие Луки;584;0.0;Доноры;521.69;0.0;➡️ Стабильно
