Регион;Код;2010;2011;2012;2013;2014;2015;2016;2017
Центральный федеральный округ;30;213.54;161.15;157.09;144.33;117.4;116.86;81.63;110.95
Белгородская область;140;126.09;127.2;98.22;69.83;15.05;-39.83;-4.37;-19.99
Брянская область;150;-123.51;-146.69;-137.82;-150.14;-117.05;-96.87;-46.81;-109.99
Владимирская область;170;-116.77;-122.13;-160.24;-79.9;-56.83;-97.98;-56.61;-128.34
Воронежская область;200;79.18;49.79;26.88;23.24;58.98;48.89;47.43;-0.17
Ивановская область;240;-60.93;-50.85;-42.48;-77.65;-82.93;-130.08;-78.79;-92.8
Калужская область;290;-214.74;-161.14;-140.24;-87.76;-68.95;-166.08;-28.1;-68.9
Костромская область;340;-176.01;-161.38;-115.1;-78.62;-41.9;-65.64;-45.0;-82.91
Курская область;380;-78.95;-62.08;-55.96;-16.34;-34.74;-80.84;-64.66;-99.48
Липецкая область;420;-133.51;-260.92;-146.21;-134.46;-77.09;-115.6;-51.53;-85.25
Московская область;460;385.96;442.01;333.78;300.24;300.09;226.61;278.59;225.05
Орловская область;540;-167.63;-44.46;-106.18;-124.51;-93.13;-182.1;-120.86;-175.71
Рязанская область;610;-132.08;50.49;18.47;-4.0;-30.01;-59.27;-6.09;-37.32
Смоленская область;660;-256.18;-169.35;-199.72;-168.48;-157.12;-126.66;-50.66;-104.83
Тамбовская область;680;-136.11;-283.79;-255.61;-236.85;-169.7;-112.76;-84.93;-134.13
Тверская область;280;-269.42;-136.83;-177.17;-201.73;-157.9;-156.18;-83.51;-153.64
Тульская область;700;-180.14;-88.33;-100.23;-91.12;-100.8;-125.92;-95.6;-137.54
Ярославская область;780;22.03;157.52;121.63;83.49;65.84;69.12;30.18;13.44
Город Москва столица Российской Федерации город федерального значения;450;676.61;422.15;490.53;466.02;289.63;374.95;104.31;336.95
Северо-Западный федеральный округ;31;43.17;96.85;67.68;84.52;71.87;74.6;72.48;79.86
Республика Карелия;860;-190.48;-131.91;-113.38;-93.98;-65.0;-74.75;-58.34;-72.83
Республика Коми;870;-642.21;-475.45;-421.51;-408.89;-309.09;-307.77;-227.82;-277.69
Архангельская область;110;-863.37;-351.97;-299.75;-274.65;-240.0;-251.17;-195.41;-212.33
Ненецкий автономный округ (Архангельская область);111;-257.19;26.35;-13.56;-42.59;-78.35;-59.65;-202.79;-132.54
Архангельская область (кроме Ненецкого автономного округа);110;-249.74;-249.74;-291.14;-291.14;-249.92;-261.72;-195.03;-216.8
Вологодская область;190;-35.22;-54.99;-69.2;-62.76;-64.39;-70.46;-68.0;-106.53
Калининградская область;270;54.81;75.42;156.47;124.61;99.38;79.62;112.32;131.22
Ленинградская область;410;204.24;380.23;212.0;211.96;230.36;215.71;222.16;258.76
Мурманская область;470;-602.59;-315.61;-300.38;-361.2;-198.52;-195.82;-149.65;-122.88
Новгородская область;490;-139.27;-14.12;-47.08;-54.77;-60.19;-63.63;-56.76;-84.0
Псковская область;580;-323.41;-28.08;-42.22;-53.39;-75.48;-43.92;-46.86;-54.27
Город Санкт-Петербург город федерального значения;400;525.26;394.01;310.9;322.31;245.16;249.32;208.1;204.64
Южный федеральный округ (по 2009 год);32;104.27;104.27;50.99;95.41;95.41;95.41;95.41;95.41
Южный федеральный округ (с 2010 года);37;86.63;78.77;103.35;95.41;48.58;53.26;53.26;53.26
Южный федеральный округ (с 29.07.2016);40;70.69;70.69;70.69;70.69;70.69;84.64;84.64;41.55
Республика Адыгея (Адыгея);790;26.77;140.48;45.1;43.43;108.41;93.29;71.06;12.27
Республика Калмыкия;850;-322.38;-365.44;-359.51;-323.43;-229.19;-214.32;-123.29;-205.61
Республика Крым;350;1.59;1.59;1.59;1.59;-41.24;-41.24;37.46;34.74
Краснодарский край;300;270.78;330.4;206.9;294.99;173.85;224.77;221.89;167.63
Астраханская область;120;-165.09;-202.02;-131.98;-125.73;-104.03;-163.25;-195.02;-197.65
Волгоградская область;180;-236.98;-285.8;-301.11;-308.75;-237.23;-227.54;-144.64;-167.67
Ростовская область;600;-28.0;-57.57;-3.88;-57.05;-18.76;-71.11;-21.65;-30.44
Город федерального значения Севастополь;670;497.09;497.09;497.09;497.09;589.14;589.14;446.98;360.76
Северо-Кавказский федеральный округ;38;-267.01;-267.01;-264.12;-246.59;-146.83;-170.31;-143.44;-173.12
Республика Дагестан;820;-291.82;-642.46;-622.38;-531.01;-340.37;-328.16;-257.66;-285.61
Республика Ингушетия;260;276.94;349.92;325.11;258.35;255.98;174.08;190.66;187.47
Кабардино-Балкарская Республика;830;-533.88;-661.4;-612.19;-625.12;-381.12;-413.61;-277.25;-272.55
Карачаево-Черкесская Республика;910;-346.17;-482.3;-429.6;-397.06;-246.51;-247.08;-245.96;-121.96
Республика Северная Осетия-Алания;900;-714.94;-781.99;-697.21;-541.25;-251.33;-393.06;-301.68;-384.27
Чеченская Республика;960;-48.89;-227.89;-279.39;-277.81;-149.69;-83.87;-144.52;-205.57
Ставропольский край;700;3.08;-48.36;-44.42;-54.6;-32.49;-71.82;-51.13;-88.72
