Регион;Код;2015;2016;2017;2018;2019;2020;2021;2022;2023
Белгород;144;-26.83;81.0;-52.72;-12.8;-52.33;-27.62;26.7;-408.9;-195.92
Старый Оскол;144;-37.98;21.55;-8.09;-50.24;-29.55;115.88;71.48;-331.49;-42.57
Брянск;154;-133.28;66.65;-7.0;34.97;-217.69;-1.84;74.37;-48.26;-36.44
Владимир;174;267.27;189.1;174.3;191.54;-81.95;-383.04;-99.74;-169.05;-168.31
Ковров;174;-61.46;13.12;-88.56;-339.06;46.32;-245.1;-128.43;-249.17;-59.69
Муром;174;-115.87;39.82;-95.48;-195.54;-211.88;-99.19;-108.29;-42.17;-185.83
Воронеж;204;210.77;172.98;157.7;185.67;86.55;7.26;147.51;3.64;-75.92
Иваново;244;-65.15;-12.61;75.39;53.06;29.03;-56.05;72.93;110.11;66.51
Калуга;294;-128.45;-388.0;-184.61;-621.93;-267.92;184.06;165.7;-10.0;-341.25
Обнинск;294;139.4;275.66;202.02;228.32;-570.55;-101.32;456.8;295.85;281.32
Кострома;344;40.31;77.82;-16.97;-112.95;135.81;240.01;212.64;20.37;184.48
Курск;384;181.6;150.2;149.4;132.66;134.75;127.42;-43.75;-98.85;194.68
Железногорск;384;37.97;37.97;37.97;37.97;156.87;156.87;-77.81;-85.2;-46.33
Магнитогорск;754;-54.99;-43.44;-197.72;-390.36;68.07;296.37;128.06;98.99;45.39
Липецк;424;-314.3;-116.12;-37.85;-17.07;-50.89;-166.9;-180.86;-285.3;-537.24
Елец;424;-138.11;-108.24;-80.41;-149.67;-33.38;74.78;-485.4;-1173.59;-1301.01
Люберцы;462;19.43;396.82;269.15;229.91;183.32;127.33;-54.13;184.81;233.67
Раменское;462;432.65;476.58;410.86;449.05;280.36;261.44;272.97;-95.37;-71.11
Орехово-Зуево;464;65.9;10.57;-284.11;-172.0;27.45;-33.16;30.53;-93.48;-228.7
Подольск;464;62.24;315.97;168.45;80.66;217.13;120.89;120.07;-314.97;-49.1
Серпухов;464;-267.79;-192.86;65.42;-105.81;162.54;128.76;53.81;107.22;123.02
Электросталь;464;50.27;44.78;33.15;-40.35;-133.19;-1700.09;-2102.17;-1475.47;-363.12
Орел;572;64.55;-14.3;-199.85;-229.53;-251.23;-717.49;-764.23;-862.5;-607.8
Рязань;614;208.03;202.43;133.15;170.28;54.58;35.09;8.05;-78.11;-44.98
Смоленск;664;-197.85;31.61;-38.45;-76.62;-327.72;-217.36;-232.34;-39.88;24.48
Тамбов;684;254.03;270.0;212.7;212.96;116.05;102.84;-79.82;-112.74;-136.23
Тверь;284;140.17;160.26;179.72;198.63;216.86;234.49;151.86;61.76;50.64
Тула;704;-75.29;40.84;-76.1;-111.55;19.33;-191.45;-119.22;-100.79;-293.88
Ярославль;784;158.91;90.37;118.39;178.95;20.45;-245.6;-188.67;-105.91;-62.19
Рыбинск;784;-296.3;-169.45;-111.64;-127.38;-226.92;-59.0;-59.06;-145.07;-100.57
Город Москва столица Российской Федерации город федерального значения;450;374.95;104.31;336.95;273.43;176.41;44.65;82.45;289.72;135.71
Петрозаводск;864;119.73;104.76;135.03;170.68;194.22;174.3;247.92;238.28;159.63
Сыктывкар;874;21.03;27.2;-4.74;-41.19;-103.87;-10.39;30.71;14.31;27.38
Ухта;874;-247.31;-169.81;-220.41;-310.77;-310.77;-310.77;-310.77;-310.77;-310.77
Архангельск;114;-26.95;-35.01;-163.94;-55.34;-109.03;-31.46;-11.34;-91.12;-38.4
